C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
329 ;* psi02 Ori                        ;bC*;081.7092888467100 +03.0956728206000;   1.031 -1.019    ;2.9943    ;12.0      ;4.611    
330 ;* n01 Ori                          ;** ;082.81054929 +03.29213136          ;    -0.22 -1.50    ;2.87      ;21.60     ;5.46     
331 ;* 31 Ori                           ;V* ;082.4332583730200 -01.0922384262200;  0.754 -25.459    ;6.517     ;6.02      ;4.71     
332 ;* eps Ori                          ;s*b;084.05338894 -01.20191914          ;     1.44 -0.78    ;1.65      ;27.30     ;1.69     
333 ;* del Ori                          ;SB*;083.00166706 -00.29909511          ;     0.64 -0.69    ;4.71      ;18.50     ;2.41     
334 ;* c Ori                            ;Y*O;083.84651779 -04.83835781          ;     4.52 -7.11    ;3.69      ;47.10     ;4.59     
335 ;* tet01 Ori C                      ;SB*;083.8186095697000 -05.3897005033000;    2.262 0.994    ;2.5014    ;24.50     ;5.13     
336 ;* iot Ori                          ;SB*;083.8582579471 -05.9099009825      ;     1.42 -0.46    ;1.40      ;27.60     ;2.77     
337 ;* ups Ori                          ;SB*;082.9827507829 -07.3015380992      ;    -0.10 -4.87    ;1.14      ;16        ;4.63     
338 ;* alf Lep                          ;V* ;083.1825671617 -17.8222892722      ;      3.56 1.18    ;1.47      ;25.10     ;2.57     
