" coord1 (ICRS,J2000/2000)  "	        pm        	Mag V 
288.13875819 +67.66154044  	    95.74 91.92   	3.07
076.101679 -35.482975      	    126.7 -43.4   	4.574
324.43795545 -07.85420276  	  114.20 -25.03   	4.69
032.12191661 +37.85907948  	  154.36 -42.76   	4.82
243.58641053 -03.69432256  	 -47.54 -142.73   	2.75
188.43560344 +41.35747912  	 -704.75 292.74   	4.25
284.90566133 +15.06830196  	  -50.75 -72.36   	4.02
056.07971685 +32.28824802  	    8.18 -10.43   	3.83
228.20661177 -44.50041259  	  -22.01 -21.75   	4.807
067.64013586 +16.19401244  	  104.56 -25.90   	4.773
045.59791413 -23.62447044  	 -147.25 -55.28   	4.09
029.48215194 +23.59606375  	  -92.55 -13.25   	4.776
083.05313545 +18.59423433  	     1.86 -4.48   	4.33
268.38220676 +56.87264285  	    93.82 78.50   	3.75
046.38505097 +56.70571828  	   -12.72 70.04   	4.774
089.88217887 +44.94743257  	   -56.44 -0.95   	1.9
195.88877199 -49.52726439  	  -47.55 -11.52   	4.83
283.77975408 -22.67133847  	  109.04 -35.25   	4.98
348.58065778 -06.04899994  	  43.12 -194.45   	4.22
084.22661744 +09.29066933  	  97.24 -305.57   	4.09
094.99833581 -02.94449348  	    -6.42 -1.26   	4.933
239.54736956 -14.27935817  	  -12.44 -16.73   	4.87
011.83468946 +24.26717801  	 -101.17 -81.77   	4.06
300.14814824 -72.91050549  	  81.78 -132.16   	3.95
287.36808739 -37.90447284  	   84.87 -95.99   	4.102
305.55709098 +40.25667916  	     2.39 -0.91   	2.23
073.15825296 +36.70318431  	   -25.52 -5.11   	4.787
086.11579539 -22.44838356  	-660.64	3.6
097.20445711 -07.03305837  	    -6.86 -2.76   	3.74
038.46126522 -28.23234453  	   -13.24 -1.79   	4.957
055.70856364 -37.31351660  	  -91.00 -70.67   	4.595
325.433021 +42.841408      	       2.9 -3.9   	3
213.22393910 -10.27370388  	    7.25 139.88   	4.21
182.02176670 -50.66127022  	   -35.16 -6.47   	4.47
075.85454013 +60.44224709  	   -6.50 -14.15   	4.02
227.98363693 -48.73782479  	  -96.50 -49.86   	3.7
218.15440278 -50.45715962  	  -29.26 -15.72   	4.416
039.89733837 -68.26694731  	     87.30 0.09   	4.106
197.49702169 +17.52945526  	 -433.13 141.24   	4.32
189.6097347 -60.7439796    	            ~ ~   	0
307.215088 -17.813708      	     -2.7 -16.5   	4.93
344.41269272 -29.62223703  	 328.95 -164.67   	1.16
056.30206575 +24.46728048  	   21.24 -40.56   	4.3
280.880217 -08.275222      	     21.06 9.11   	4.9
138.29990608 -69.71720760  	 -156.47 108.95   	1.69
264.329713 -42.997825      	       6.1 -0.9   	1.852
130.00613061 -12.47537253  	    -80.40 0.73   	4.987
175.05329043 -34.74465926  	   -43.24 -1.61   	4.7
072.65301243 +08.90018037  	    1.41 -29.91   	4.35
309.39180003 -47.29150072  	    49.24 66.53   	3.11
114.34212409 -34.96853080  	   -14.21 16.32   	4.53
012.271438 +57.816500      	            ~ ~   	3.52
040.56214871 +40.19394160  	 -17.20 -183.30   	4.92
083.84651779 -04.83835781  	     4.52 -7.11   	4.59
016.521229 -46.718500      	      -26.9 6.1   	4.1
257.19664984 +65.71468427  	   -20.43 19.61   	3.17
258.757963 +24.839192      	   -20.3 -157.6   	3.103
189.6631331 -60.6368070    	            ~ ~   	0
211.59290619 -26.68236178  	  43.70 -141.18   	3.28
111.41206721 +09.27609836  	    -4.30 -8.20   	4.998
278.37577608 -42.31250930  	   33.27 -20.72   	4.62
168.80094620 +23.09551036  	   -25.56 -6.00   	4.63
016.521033 -46.718403      	      -26.9 6.1   	4.19
266.61469448 +27.72067718  	-1041.26	3.42
263.05415296 +86.58646066  	    10.17 53.97   	4.348
120.89603141 -40.00314780  	   -29.71 16.68   	2.25
154.17256653 +23.41731168  	    18.39 -6.84   	3.41
190.47106907 +10.23562633  	   82.67 -89.08   	4.88
139.27252857 -59.27523203  	   -18.86 11.98   	2.26
348.97289510 -09.08773739  	  368.78 -17.16   	4.25
181.72041250 -64.61372899  	   33.88 -37.02   	4.145
103.660983 +13.177825      	     71.0 -79.7   	4.715
189.6117186 -60.5130667    	            ~ ~   	0
028.59885697 +63.67010079  	   32.09 -18.94   	3.37
189.96886831 -39.98730294  	  -43.38 -25.25   	4.64
277.84343786 -62.27830148  	   -1.11 -45.31   	4.64
230.78895854 -36.85848668  	  -18.24 -20.72   	4.54
168.15005658 -60.31762544  	     -5.68 2.15   	4.62
277.29939118 -14.56581441  	     3.22 -4.02   	4.686
158.30786999 +40.42556034  	   -141.66 8.17   	4.728
042.67420662 +55.89549655  	   16.23 -13.54   	3.79
254.41707438 +09.37503128  	 -292.13 -10.38   	3.2
290.65957375 -44.45895715  	   13.67 -19.03   	4.01
169.545550 +31.529289      	  -453.7 -591.4   	3.79
166.25428143 +07.33600653  	 -344.28 -47.65   	4.63
292.17637482 +24.66490346  	-233.57	4.45
067.15416174 +19.18042906  	  106.19 -37.84   	3.53
325.48038905 +71.31141838  	   119.29 95.17   	4.544
126.43414467 -66.13689027  	 -35.74 -152.22   	3.775
163.90331908 +24.74971730  	  -80.03 -15.36   	4.32
097.24077556 +20.21213490  	   -6.82 -13.10   	4.14
169.83519818 -14.77853925  	 -124.67 207.59   	3.56
265.85747375 -21.68319388  	  -97.54 -44.56   	4.873
217.95745674 +30.37143836  	 -100.90 120.73   	3.59
351.51160692 -20.64201751  	  -50.72 -64.22   	4.39
059.98118254 -24.01621661  	    12.12 16.48   	4.66
188.59681183 -23.39676040  	    1.11 -56.56   	2.64
242.998917 -19.460647      	            ~ ~   	4.349
064.31525645 +20.57859279  	  -39.41 -60.79   	4.925
069.81875960 +15.91797304  	   83.17 -20.97   	4.675
189.8088875 -60.6880592    	            ~ ~   	0
262.68462592 +26.11064481  	    18.81 16.62   	4.41
266.89617137 -40.12699704  	     0.01 -6.24   	3.02
162.40620311 -16.19364888  	   93.35 198.88   	3.11
227.9883 -48.7397          	            ~ ~   	3.71
248.52091784 -44.04531337  	     0.02 -1.98   	4.94
242.99889865 -19.46070448  	   -7.65 -23.71   	4
355.68060303 -14.54490342  	   99.28 -66.32   	4.483
094.90576908 +59.01096341  	    -5.35 23.86   	4.446
258.66190909 +14.39034061  	    -7.32 36.07   	3.06
057.38033286 +65.52597263  	   -4.03 -13.82   	4.48
237.81629103 +20.97792128  	   -53.32 18.87   	4.78
015.73586927 +07.89013487  	   -80.17 25.59   	4.28
311.66459755 +16.12428898  	 -24.17 -199.96   	4.27
125.70879166 +43.18813123  	  -25.16 -99.23   	4.25
303.94222837 +27.81424409  	    -34.27 6.41   	4.52
319.35396850 +39.39468133  	    -0.13 -3.58   	4.24
332.49684881 +33.17822156  	  -12.87 -18.95   	4.29
208.67116217 +18.39772072  	 -60.95 -356.29   	2.68
014.1772154 +60.7167403    	    25.65 -3.82   	2.39
109.52324905 +16.54038626  	  -44.43 -36.61   	3.581
337.20794520 -00.01994285  	   182.92 50.36   	3.65
214.93847831 +16.30694823  	  -141.56 60.48   	4.85
234.66403957 -29.77774878  	  -22.08 -24.46   	3.644
346.67018679 -23.74312068  	    58.86 -1.74   	4.47
165.46031890 +56.38242609  	    81.43 33.49   	2.37
191.93028656 -59.68877200  	  -42.97 -16.18   	1.25
292.94300766 +34.45296874  	     1.16 -3.47   	4.72
031.79335710 +23.46241755  	 188.55 -148.08   	2.01
221.246583 +27.074928      	            ~ ~   	4.801
009.63894207 +29.31175374  	-482.15	4.38
048.95844401 -08.81972834  	    -0.35 46.10   	4.8
039.89095219 -11.87214254  	 161.62 -230.53   	4.87
282.51998020 +33.36266944  	     1.90 -3.53   	3.42
012.20842455 +50.96816716  	   30.84 -10.02   	4.901
222.57212122 -27.96037002  	 -238.76 -61.86   	4.41
186.74707119 +26.82570003  	   -10.75 -8.88   	4.965
176.62946929 -40.50035340  	-1530.99 403.67   	4.88
036.48752334 -12.29047511  	   -11.28 -9.48   	4.869
252.309242 +45.983314      	     22.1 -56.1   	4.826
284.06098697 +04.20211858  	    42.13 23.98   	4.98
233.97186690 -44.95838838  	  -20.53 -21.23   	4.54
330.84024204 -56.78597693  	3960.93 -2539.23  	4.69
123.51217581 -40.34788974  	   45.51 -65.60   	4.44
302.35674659 +36.83962215  	     3.32 13.24   	4.93
263.06676933 +55.17295844  	   142.65 62.43   	4.865
246.99589369 +68.76813869  	   -24.06 34.48   	4.959
025.14506855 +40.57704840  	   15.99 -23.76   	4.94
100.99705272 +13.22801972  	   -2.40 -50.78   	4.49
203.69920111 +37.18241608  	    84.63 -9.34   	4.98
044.92874947 +08.90735830  	    6.01 -17.70   	4.7
048.01886400 -28.98762045  	  370.87 611.33   	3.85
079.17232794 +45.99799147  	  75.25 -426.89   	0.08
152.23433131 -51.81126075  	    -14.96 0.48   	4.849
324.48010288 +62.08193957  	    -1.64 -3.02   	4.73
276.49640558 +65.56348021  	  105.83 -27.24   	4.833
010.51623091 +50.51252542  	    12.24 -6.58   	4.81
089.78668830 -42.81513394  	   18.39 -10.87   	3.96
159.38863731 -13.38454248  	   42.59 -37.72   	4.82
181.30225203 +08.73298605  	  -218.69 57.76   	4.12
241.85136741 -20.86876440  	   44.81 -45.42   	4.33
231.95721470 +29.10570066  	  -180.17 85.92   	3.68
316.7275 +38.7458          	4133.05 3201.78   	4.84
073.56290018 +02.44067308  	      0.55 0.61   	3.73
339.81532766 +39.05026977  	    -0.32 -5.46   	4.88
091.24637120 -16.48443612  	    -5.85 -3.74   	4.93
241.36071368 -19.80190433  	   -5.07 -25.87   	4.89
225.94706520 +47.65406188  	  -445.84 19.86   	4.76
207.40411929 -42.47373045  	  -24.25 -18.64   	3.43
265.86813603 +04.56730431  	  -41.45 159.34   	2.75
335.33058063 +28.33052852  	     17.78 5.18   	4.81
329.47947306 -54.99257612  	    41.94 -3.93   	4.4
013.75064678 +58.97269745  	  -33.50 -40.82   	4.829
337.66173110 -10.67795107  	    0.30 -26.87   	4.81
168.52708927 +20.52371814  	 143.42 -129.88   	2.53
302.22228442 +77.71142087  	    11.57 24.34   	4.395
033.09283344 +30.30306751  	  -65.05 -60.50   	4.952
156.78791820 -31.06777671  	   -81.61 10.53   	4.25
346.77807952 +25.46825914  	   -0.03 -33.07   	4.74
351.99206370 +06.37899222  	 -123.58 -43.23   	4.3
030.9748046 +42.3297247    	   43.08 -50.85   	2.1
124.63147162 -76.91972123  	  111.12 107.49   	4.066
039.94995772 -42.89167634  	   88.20 -17.82   	4.75
055.56209365 -31.93836263  	     4.80 13.64   	4.97
167.41586949 +44.49848668  	  -62.02 -27.41   	3.01
074.81420727 +37.89024489  	   46.35 -97.80   	4.989
237.80804694 +35.65737975  	  -8.55 -348.44   	4.82
007.88611698 -62.95821874  	   83.64 -54.82   	4.335
114.705750 -26.801803      	     -10.6 16.3   	4.5
140.52840671 -55.01066713  	   -11.40 11.52   	2.464
185.34003901 -60.40114697  	  -170.93 91.67   	3.59
265.48481402 +72.14884670  	  25.32 -268.47   	4.56
210.41163923 +01.54453181  	   17.49 -21.27   	4.244
063.50047686 -42.29436756  	  42.02 -203.55   	3.86
253.08393884 -38.01753495  	  -11.09 -23.32   	3.544
056.29846681 +42.57855080  	    -14.45 2.53   	3.8
355.10211514 +44.33393239  	   80.73 -18.70   	4.14
034.32861264 +33.84719307  	   44.64 -52.57   	4
111.02375950 -29.30310551  	     -4.14 5.81   	2.45
340.43920671 +29.30763661  	   -0.06 -21.46   	4.79
002.09691619 +29.09043112  	 137.46 -163.44   	2.06
066.34235439 +22.29387154  	  105.10 -45.04   	4.21
030.85877576 +72.42129382  	   -43.57 22.30   	3.948
099.83260975 +42.48887824  	   -0.87 -54.97   	4.82
095.94201964 +04.59286537  	   -22.06 10.91   	4.414
214.77746812 -13.37109609  	   -15.91 28.92   	4.52
340.365550 +10.831289      	   77.22 -11.38   	3.41
078.32283394 +02.86126329  	      0.83 3.91   	4.44
048.017892 -28.989006      	    371.5 612.3   	3.98
262.77463634 -60.68384782  	  -54.01 -99.25   	3.62
318.697754 +38.045375      	    158.7 431.3   	3.83
326.69836799 +49.30956975  	     2.77 -2.00   	4.18
167.14745833 -58.97503770  	     -4.97 1.67   	3.83
117.02153497 -25.93717008  	    -10.09 4.26   	4.49
195.18208123 +56.36633616  	    107.94 2.05   	4.93
284.23761617 -67.23349530  	    -8.46 16.47   	4.4
219.47177428 -49.42582771  	  -28.26 -28.82   	4.05
239.11326123 +15.66161682  	310.93 -1282.19   	3.84
307.41249801 -02.88553069  	   70.00 -22.38   	4.912
275.21692985 +03.37716651  	      1.79 8.88   	4.857
054.27367446 -40.27454569  	    4.96 -14.44   	4.58
030.511767 +02.763731      	     41.8 -11.0   	4.11
157.75858488 -73.22149021  	     -7.00 7.66   	4.95
134.803387 +48.042314      	      -444 -226   	3.13
303.81623093 +25.59195970  	     6.93 -3.89   	4.759
052.64368937 +47.99521689  	     3.56 18.48   	4.36
225.24312556 -08.51894620  	   -63.46 -4.76   	4.93
063.48493673 +09.26382581  	  -10.31 -30.01   	4.89
220.18153260 +16.41832478  	     11.44 9.47   	4.54
299.73833006 -26.19576513  	    35.31 25.69   	4.851
189.5925822 -60.6657021    	            ~ ~   	0
107.18694658 -70.49893390  	   24.29 107.03   	3.768
158.89707172 -57.55763430  	    -15.93 0.49   	4.458
326.12789922 +17.35001585  	    8.66 -11.33   	4.35
006.57104752 -42.30598719  	 233.05 -356.30   	2.37
042.75967442 -21.00401818  	  -38.52 -16.05   	4.77
074.98223656 -12.53741619  	   39.67 -87.04   	4.782
307.39535443 +62.99410654  	   45.07 -12.59   	4.22
207.42847736 +21.26410523  	    23.13 16.88   	4.91
217.043488 -29.491658      	   -25.48 -24.1   	4.972
349.47589051 -09.18251876  	   17.13 -11.70   	4.4
245.480175 +19.153022      	     -47.4 43.8   	3.726
017.14746451 -10.18226582  	 215.61 -139.02   	3.45
056.45669401 +24.36774621  	   20.95 -45.98   	3.87
026.01701409 -15.93747951  	-1721.05 854.16   	3.5
241.64810522 -36.80229591  	  -15.33 -33.83   	4.205
087.87250169 +39.14848411  	     10.33 1.73   	3.95
283.686967 +22.645028      	       2.8 -2.0   	4.6
173.94535540 -63.01984203  	   -33.41 -7.08   	3.14
113.44984928 -14.52388960  	     -6.98 4.82   	4.97
221.56218900 +01.89288458  	 -114.03 -22.13   	3.73
018.43727646 +24.58371082  	   17.50 -22.04   	4.66
305.25280525 -14.78138307  	     44.92 7.38   	3.08
265.35363693 -12.87530795  	  -72.90 -55.55   	4.244
125.628475 -59.509481      	     -25.3 22.7   	2.01
319.47947940 +34.89689692  	     10.03 6.49   	4.42
119.56016333 -49.24491118  	     -5.34 7.12   	4.41
