C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
207 ;* sig01 UMa                        ;*  ;137.0979153015200 +66.8732339353000;-22.484 -40.649     ;6.4079    ;13.97      ;5.136    
208 ;* pi.02 UMa                        ;PM*;130.0534048626200 +64.3279361786700; -59.861 26.544     ;13.2035   ;14.62      ;4.61     
209 ;* omi UMa                          ;PM*;127.5661256526667 +60.7181682239411;-133.644 -107.664   ;17.9335   ;19.80      ;3.42     
210 ;* 21 Lyn                           ;PM*;111.6785494554 +49.2115251881      ;  -10.22 -49.29     ;11.92     ;26.80      ;4.610    
211 ;* iot Dra                          ;V* ;231.2323942771 +58.9660651236      ;    -8.36 17.08     ;32.23     ;-10.912    ;3.29     
212 ;* alf Dra                          ;SB*;211.0972914721 +64.3758505267      ;   -56.34 17.21     ;10.76     ;-13.0      ;3.680    
213 ;* 4 Dra                            ;SB*;187.5277583191100 +69.2011039547000;-57.311 -50.365     ;5.7233    ;-15.80     ;4.95     
214 ;* 6 Dra                            ;SB*;188.6834136981300 +70.0217792479300; -32.393 -4.449     ;6.6159    ;3.38       ;4.946    
215 ;* kap Dra                          ;Be*;188.3705971535600 +69.7882388589500; -58.571 10.110     ;7.0093    ;-12.00     ;3.89     
216 ;* lam Dra                          ;V* ;172.8509198017 +69.3310748933      ;  -40.97 -19.19     ;9.79      ;6.60       ;3.85     
217 ;* h UMa                            ;PM*;142.8821197175 +63.0618614831      ;   107.99 27.15     ;41.99     ;-10.40     ;3.67     
218 ;* tau UMa                          ;SB*;137.7293415982000 +63.5136712128700;104.904 -69.926     ;27.6487   ;-8.59      ;4.640    
219 ;* c UMa                            ;SB*;138.5855918192700 +61.4233169622000; -7.826 -31.083     ;49.4145   ;-14.30     ;5.20     
220 ;* phi Her                          ;a2*;242.1924009085400 +44.9349059320400; -25.359 36.884     ;13.5751   ;-16.30     ;4.27     
221 ;* ups Her                          ;PM*;240.6995742429300 +46.0367038658700; 55.458 -61.501     ;8.7194    ;3.00       ;4.709    
222 ;* i Dra                            ;LP?;207.8580807421 +64.7232701933      ;     1.34 -5.15     ;8.78      ;-12.26     ;4.66     
223 ;* 8 Dra                            ;gD*;193.8689523507200 +65.4384742023700; -3.658 -30.126     ;33.9667   ;9.0        ;5.225    
224 ;* 27 Lyn                           ;PM*;122.1143596729 +51.5066681853      ;   -60.95 -3.11     ;13.04     ;11.00      ;4.797    
225 ;* alf UMa                          ;SB*;165.93196467 +61.75103469          ; -134.11 -34.70     ;26.54     ;-9.40      ;1.79     
226 ;* ups UMa                          ;dS*;147.7473252344596 +59.0387336232178;-294.441 -151.663   ;28.3783   ;27.30      ;3.81     
227 ;* 17 UMa                           ;V* ;138.9574235064200 +56.7414071128600;-24.607 -28.808     ;4.4911    ;-31.60     ;5.266    
228 ;* chi Her                          ;PM*;238.1689210382104 +42.4515174663547;438.839 629.541     ;62.9028   ;-56.072    ;4.62     
229 ;* 44 Lyn                           ;LP?;146.6319357270200 +57.1280688806900;   0.542 33.041     ;5.5325    ;7.32       ;5.20     
230 ;* e UMa                            ;dS*;139.0471959006300 +54.0218573292200;  48.858 60.396     ;27.9081   ;-17.50     ;4.805    
231 ;* f UMa                            ;PM*;137.2177401354 +51.6046480467      ; -136.33 -32.60     ;34.70     ;-0.10      ;4.48     
232 ;* i Boo A                          ;PM*;225.9467901669609 +47.6539772391100;-332.062 87.352     ;77.2460   ;-31.20     ;5.136    
233 ;* kap02 Boo                        ;dS*;213.3708653298600 +51.7899674584600;  61.899 -9.615     ;20.153    ;-15.60     ;4.51     
234 ;* iot Boo                          ;dS*;214.0413740117000 +51.3672301954700;-149.277 89.135     ;33.8856   ;-18.7      ;4.75     
235 ;* tet Boo                          ;PM*;216.2991542862 +51.8507435817      ;-235.40 -399.07     ;68.82     ;-10.627    ;4.05     
236 ;* zet02 UMa                        ;SB*;200.9846746374000 +54.9218093821200;114.529 -26.887     ;40.2803   ;-9.3       ;3.88     
237 ;* zet01 UMa                        ;SB*;200.9814261688220 +54.9253598833028;122.467 -22.682     ;40.2133   ;-5.6       ;2.220    
238 ;* g UMa                            ;** ;201.3064076387 +54.9879596614      ;  120.21 -16.04     ;39.91     ;-8.9       ;4.010    
239 ;* 83 UMa                           ;LP*;205.1844722950 +54.6816358714      ;  -19.06 -10.56     ;6.23      ;-18.61     ;4.66     
240 ;* 78 UMa                           ;** ;195.18208123 +56.36633616          ;    107.94 2.05     ;39.30     ;-9.8       ;4.93     
241 ;* eps UMa                          ;a2*;193.5072899675 +55.9598229569      ;   111.91 -8.24     ;39.51     ;-12.70     ;1.77     
242 ;* del UMa                          ;PM*;183.8565026362 +57.0326154461      ;    104.11 7.30     ;40.51     ;-15.30     ;3.320    
243 ;* bet UMa                          ;PM*;165.4603189042 +56.3824260867      ;    81.43 33.49     ;40.90     ;-13.10     ;2.37     
244 ;* 37 UMa                           ;PM*;158.7903905670100 +57.0826353653100;  66.449 37.145     ;37.3444   ;-12.109    ;5.148    
245 ;* phi UMa                          ;** ;148.02647655 +54.06433229          ;    -6.00 19.16     ;6.41      ;-14.70     ;4.557    
246 ;* 26 UMa                           ;PM*;143.7059691292 +52.0514768028      ;  -65.74 -37.32     ;12.44     ;22.20      ;4.463    
247 ;* tet UMa                          ;PM*;143.2143078912 +51.6773003061      ;-947.46 -535.60     ;74.19     ;14.356     ;3.18     
248 ;* kap UMa                          ;** ;135.90636507 +47.15652473          ;  -36.19 -55.40     ;9.10      ;2.30       ;3.55     
249 ;* iot UMa                          ;** ;134.80189007 +48.04182614          ;-441.29 -215.32     ;68.92     ;9.0        ;3.14     
250 ;* 31 Lyn                           ;LP*;125.7087916525 +43.1881312297      ;  -25.16 -99.23     ;8.53      ;24.56      ;4.25     
251 ;* nu.01 Boo                        ;*  ;232.7323316637200 +40.8330484081500;  10.563 -8.385     ;3.3492    ;-11.12     ;5.026    
252 ;* nu.02 Boo                        ;** ;232.9457626901900 +40.8993348630300;-22.887 -12.041     ;7.3894    ;-16.60     ;4.978    
253 ;* phi Boo                          ;PM*;234.4566585742900 +40.3534346735600;  61.380 59.791     ;18.5752   ;-9.98      ;5.254    
254 ;* mu. CrB                          ;V* ;233.8121609003400 +39.0100674186300;   24.780 8.594     ;4.9176    ;-17.96     ;5.11     
255 ;* 13 Boo                           ;LP*;212.0720947991800 +49.4581656798200; -58.799 59.974     ;4.6882    ;-13.92     ;5.25     
256 ;* gam UMa                          ;Em*;178.4576971525 +53.6947597292      ;   107.68 11.01     ;39.21     ;-11.90     ;2.440    
257 ;* 44 UMa                           ;PM*;163.3935503272700 +54.5851273979800; -65.881 -9.253     ;5.49      ;-0.20      ;5.111    
258 ;* 31 UMa                           ;*  ;148.9291741490700 +49.8198430132600;  -4.372 19.887     ;15.1011   ;-9.00      ;5.269    
259 ;* 35 Lyn                           ;*  ;132.9867942769400 +43.7266040012400; -14.708 46.370     ;12.2363   ;13.431     ;5.148    
260 ;* lam Boo                          ;dS*;214.0959116521 +46.0883057017      ; -187.33 159.05     ;32.94     ;-7.90      ;4.18     
261 ;* eta UMa                          ;PM*;206.88515734 +49.31326673          ; -121.17 -14.91     ;31.38     ;-13.40     ;1.86     
262 ;* 24 CVn                           ;PM*;203.6135803512 +49.0159740358      ;  -128.38 28.05     ;18.09     ;-18.3      ;4.70     
263 ;* 21 CVn                           ;a2*;199.5604563801600 +49.6820636679600; -35.161 16.342     ;11.6984   ;-2.9       ;5.15     
264 ;* 5 CVn                            ;*  ;186.0062261893600 +51.5622568435500;  12.955 11.323     ;8.6643    ;-14.20     ;4.761    
265 ;* 15 LMi                           ;PM*;147.1473806186700 +46.0210073931700;221.750 -92.356     ;53.1277   ;5.20       ;5.10     
266 ;* 36 Lyn                           ;Ro*;138.4508882421300 +43.2178316535900;-30.236 -32.032     ;5.2687    ;21.30      ;5.282    
267 ;* 10 UMa                           ;SB*;135.15991945 +41.78294587          ;-474.31 -204.21     ;62.23     ;31.39      ;3.960    
268 ;* bet Boo                          ;Er*;225.4865099108 +40.3905668353      ;  -40.15 -28.86     ;14.48     ;-18.40     ;3.52     
269 ;* 3 CVn                            ;V* ;184.9529608151300 +48.9841463651900;  -13.886 5.802     ;5.1237    ;7.18       ;5.29     
270 ;* chi UMa                          ;PM*;176.5125586421 +47.7794062925      ;  -138.29 28.57     ;17.76     ;-9.02      ;3.72     
271 ;* gam Boo                          ;dS*;218.0194658183 +38.3082511861      ; -115.71 151.16     ;37.58     ;-32.40     ;3.02     
272 ;* psi UMa                          ;PM*;167.4158694850 +44.4984866806      ;  -62.02 -27.41     ;22.57     ;-3.39      ;3.01     
273 ;* lam UMa                          ;PM*;154.2740802357300 +42.9144138051900;-152.974 -49.462    ;14.4594   ;18.10      ;3.45     
274 ;* 19 LMi                           ;SB*;149.4210601369600 +41.0556318850600;-116.432 -25.860    ;34.5809   ;-9.8       ;5.104    
275 ;* 42 Lyn                           ;*  ;144.5907349421400 +40.2397933270100; -13.515 10.268     ;25.9788   ;-2.6       ;5.276    
276 ;* alf Cet                          ;LP?;045.56988780 +04.08973877          ;  -10.41 -76.85     ;13.09     ;-26.08     ;2.53     
277 ;* tau03 Eri                        ;PM*;045.5979139967592 -23.6244717234822;-147.851 -55.251    ;36.9502   ;-9.8       ;4.09     
278 ;* del Ari                          ;PM*;047.9073527192 +19.7266776942      ;   153.33 -8.28     ;19.22     ;22.81      ;4.37     
279 ;* zet Ari                          ;PM*;048.7254096668000 +21.0444470081400;-26.276 -73.782     ;11.8942   ;7.30       ;4.869    
280 ;* kap01 Cet                        ;BY*;049.8404013354 +03.3701986497      ;   269.30 93.75     ;109.41    ;19.359     ;4.85     
281 ;* 94 Cet                           ;PM*;048.1934856987800 -01.1960988358300;193.549 -68.888     ;43.7027   ;19.389     ;5.070    
282 ;* zet Eri                          ;SB*;048.9584403589200 -08.8197323836200;  -2.800 46.883     ;27.395    ;-5.80      ;4.80     
283 ;* tau04 Eri                        ;LP*;049.8791759887 -21.7578624869      ;    51.89 32.92     ;10.71     ;41.70      ;3.70     
284 ;* 15 Eri                           ;** ;049.5921043346 -22.5111164083      ;    13.08 13.33     ;12.77     ;16.80      ;4.875    
285 ;* alf For                          ;** ;048.0188639875 -28.9876204678      ;  370.87 611.33     ;70.24     ;-16.917    ;3.85     
286 ;* 63 Ari                           ;*  ;050.6885055610783 +20.7420671867628;-53.633 -14.447     ;9.7639    ;2.99       ;5.13     
287 ;* f Tau                            ;SB*;052.7182399031300 +12.9366696397700;   18.800 0.597     ;9.6907    ;14.20      ;4.10     
288 ;* s Tau                            ;*  ;052.6019465162 +11.3364409908      ;  -14.68 -16.46     ;9.03      ;0.60       ;5.124    
289 ;* omi Tau                          ;SB*;051.2033263270900 +09.0288696200100;-66.384 -74.413     ;15.0788   ;-19.79     ;3.600    
290 ;* ksi Tau                          ;EB*;051.7922524135600 +09.7327419509000; 70.741 -43.156     ;16.7914   ;-2.0       ;3.75     
291 ;* v Eri                            ;*  ;052.6544092917 -05.0751455233      ;     14.23 7.27     ;8.07      ;15.00      ;4.725    
292 ;* eps Eri                          ;BY*;053.2326853798279 -09.4582609705181;-974.758 20.876     ;310.5773  ;16.376     ;3.73     
293 ;* o Per                            ;*  ;055.5943564692 +33.9650248119      ;     2.71 -5.91     ;3.09      ;22.00      ;4.972    
294 ;* omi Per                          ;** ;056.07971685 +32.28824802          ;    8.18 -10.43     ;2.91      ;12.20      ;3.83     
295 ;* 17 Tau                           ;Be*;056.2189036742 +24.1133364492      ;   20.84 -46.06     ;8.06      ;6.70       ;3.70     
296 ;* 10 Tau                           ;PM*;054.2182654350700 +00.4016644716192;-232.563 -481.472   ;71.8370   ;28.080     ;4.30     
297 ;* 24 Eri                           ;*  ;056.1271271095100 -01.1630909663000;   3.724 -5.619     ;4.6032    ;27.00      ;5.25     
298 ;* del Eri                          ;*  ;055.8120855748129 -09.7633919321942;-93.634 744.360     ;110.0254  ;-6.230     ;3.54     
299 ;* 20 Eri                           ;a2*;054.0725171230000 -17.4670756411100;  36.026 -7.362     ;8.5009    ;14.00      ;5.23     
300 ;* tau05 Eri                        ;SB*;053.4469838683 -21.6328841764      ;   44.94 -28.16     ;11.12     ;14.0       ;4.30     
301 ;* del For                          ;*  ;055.5620939168000 -31.9383622752800;   4.815 13.836     ;3.8528    ;26.00      ;4.973    
302 ;* h Eri                            ;HB*;055.7085636446 -37.3135165961      ;  -91.00 -70.67     ;17.70     ;9.90       ;4.583    
303 ;* n Per                            ;SB*;057.3861818132600 +33.0913645735200;  -19.334 7.638     ;9.2759    ;-12.40     ;5.11     
304 ;* zet Per                          ;V* ;058.5330103129 +31.8836336839      ;     5.77 -9.92     ;4.34      ;20.60      ;2.85     
305 ;* q Tau                            ;*  ;056.3020657508 +24.4672804806      ;   21.24 -40.56     ;7.97      ;7.80       ;4.30     
306 ;* 20 Tau                           ;PM*;056.4566940083 +24.3677462111      ;   20.95 -45.98     ;8.51      ;7.40       ;3.87     
307 ;* 23 Tau                           ;Be*;056.5815576783 +23.9483559011      ;   21.13 -43.65     ;8.58      ;6.2        ;4.18     
308 ;* 27 Tau                           ;SB*;057.2905941050 +24.0534167436      ;   17.70 -44.18     ;8.53      ;8.5        ;3.63     
309 ;* 28 Tau                           ;Be*;057.2967358241300 +24.1367101977800; 19.496 -47.650     ;7.2414    ;5.10       ;5.09     
310 ;* eta Tau                          ;Be*;056.8711523037 +24.1051356519      ;   19.34 -43.67     ;8.09      ;5.40       ;2.87     
311 ;* e Tau                            ;V* ;057.0677782225700 +11.1432989279500; 23.848 -23.090     ;7.3071    ;16.20      ;5.07     
312 ;* 32 Eri                           ;** ;058.57292417 -02.95473430          ;    26.00 -0.23     ;10.42     ;27.10      ;4.45     
313 ;* pi. Eri                          ;LP?;056.5355634167500 -12.1015884820100;  56.125 59.445     ;6.3943    ;45.20      ;4.42     
314 ;* tau07 Eri                        ;Pe*;056.9152087262800 -23.8746774630200;  47.218 48.519     ;12.5218   ;28.40      ;5.235    
315 ;* tau06 Eri                        ;PM*;056.7120304943742 -23.2497228029747;-159.920 -529.646   ;56.2281   ;7.19       ;4.20     
316 ;* tau08 Eri                        ;SB*;058.4279264844000 -24.6122281715400;  30.202 -6.579     ;9.9585    ;20.50      ;4.623    
317 ;* i Eri                            ;*  ;058.4122808075100 -34.7322973066800;  31.797 -1.902     ;9.0016    ;22.90      ;5.092    
318 ;* g Eri                            ;PM*;057.3635219946 -36.2002511222      ;  -49.18 -57.01     ;15.54     ;2.62       ;4.17     
319 ;* f Eri                            ;** ;057.14948851 -37.62015040          ;    74.44 -9.09     ;19.71     ;15.60      ;4.27     
320 ;* f Eri B                          ;PM*;057.1478236955500 -37.6220034472700;  63.372 -8.121     ;18.7976   ;15.9       ;5.25     
321 ;* eps Per                          ;bC*;059.4634668633 +40.0102153175      ;   14.06 -23.78     ;5.11      ;-1.00      ;2.89     
322 ;* ksi Per                          ;** ;059.7412595488 +35.7910314458      ;      3.62 1.74     ;2.62      ;65.40      ;4.060    
323 ;* psi Tau                          ;PM*;061.7519039747200 +29.0013081318500;  -91.661 8.096     ;35.9319   ;9.15       ;5.2      
324 ;* 41 Tau                           ;a2*;061.6517191453200 +27.5999000415600; 21.153 -51.792     ;8.0667    ;-2.0       ;5.172    
325 ;* 37 Tau                           ;PM*;061.1738118396 +22.0819234117      ;   90.53 -59.47     ;17.43     ;9.52       ;4.37     
326 ;* lam Tau                          ;EB*;060.1700654896 +12.4903405381      ;   -8.02 -14.42     ;6.74      ;17.8       ;3.41     
327 ;* nu. Tau                          ;*  ;060.7890819292 +05.9892997683      ;     4.72 -3.78     ;27.89     ;-5.7       ;3.883    
328 ;* 35 Eri                           ;*  ;060.3835295860400 -01.5496586449100; 28.479 -15.863     ;7.4656    ;15.70      ;5.28     
329 ;* gam Eri                          ;LP?;059.5073622871 -13.5085193806      ;  61.57 -113.11     ;16.04     ;60.81      ;2.94     
330 ;* tau09 Eri                        ;a2*;059.9811823664000 -24.0162158876300;  11.786 16.740     ;9.9739    ;25.50      ;4.66     
331 ;* f Per                            ;SB*;063.7222183365200 +40.4836403779900; -1.000 -24.451     ;4.1967    ;-4.50      ;4.691    
332 ;* ome02 Tau                        ;PM*;064.3152546936800 +20.5785973794900;-40.375 -59.486     ;35.0804   ;15.00      ;4.914    
333 ;* mu. Tau                          ;*  ;063.8835752501900 +08.8923550849400; 19.770 -21.918     ;6.4463    ;16.30      ;4.279    
