C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
191 ;* zet Boo A                ;* zet Boo A                        ;220.287334092 +13.728281061        ;     66.3 -20.6     ;      ~   ;~           ;4.51     
192 ;* del PsA                  ;* del PsA                          ;343.9870841469900 -32.5396239368100;  11.620 32.638     ;19.1618   ;-10.69      ;4.208    
193 ;* tau Tau                  ;* tau Tau                          ;070.5612468549800 +22.9569028148300;  3.181 -17.028     ;8.231     ;14.6        ;4.258    
194 ;* 4 Cas                    ;* 4 Cas                            ;351.2094265613 +62.2828081542      ;   12.29 -12.44     ;4.15      ;-38.98      ;4.955    
195 ;* 2 Lac                    ;* 2 Lac                            ;335.2564469371 +46.5365683569      ;     22.35 1.45     ;5.88      ;-9.5        ;4.540    
196 ;GES J12381864-6034227      ;Cl* Trumpler 20 PMF 5175           ;189.5777061329200 -60.5729748650100;   -7.318 0.409     ;0.6066    ;-20.59      ;     ~   
197 ;* rho Peg                  ;* rho Peg                          ;343.8069536722100 +08.8161814601300;  78.625 12.398     ;11.1664   ;-10.60      ;4.90     
198 ;* P Cyg                    ;* P Cyg                            ;304.4466753517 +38.0329313122      ;    -3.18 -6.45     ;0.32      ;-8.90       ;4.82     
199 ;* ups04 Eri                ;* ups04 Eri                        ;064.4735933612 -33.7983491397      ;    62.52 -7.24     ;18.33     ;17.6        ;3.56     
200 ;HR 7955                    ;* ups Cep                          ;311.3380366192 +57.5797244356      ; -62.32 -236.00     ;36.64     ;-34.540     ;     ~   
201 ;* 41 Ari                   ;* 41 Ari                           ;042.4959718358 +27.2605072272      ;  66.81 -116.52     ;19.69     ;4.00        ;3.594    
202 ;* phi And                  ;* phi And                          ;017.37552340 +47.24179429          ;    4.05 -12.43     ;4.55      ;-2.20       ;4.25     
203 ;* pi. Vir                  ;* pi. Vir                          ;180.2182934200 +06.6143214175      ;    0.26 -30.10     ;8.49      ;-10.4       ;4.642    
204 ;* alf Pic                  ;* alf Pic                          ;102.04772968 -61.94138912          ;  -66.07 242.97     ;33.78     ;15.30       ;3.30     
205 ;* rho Aql                  ;* rho Aql                          ;303.5692445109300 +15.1976073380800;  55.446 57.339     ;20.9054   ;-23.0       ;4.946    
206 ;* chi Eri                  ;* chi Eri                          ;028.9894156935588 -51.6088775905311;680.110 294.318     ;56.8508   ;-6.30       ;3.70     
207 ;* lam Col                  ;* lam Col                          ;088.2786734394400 -33.8013632178600;  -4.095 31.125     ;9.466     ;30.0        ;4.87     
208 ;* alf Oph                  ;* alf Oph                          ;263.73362272 +12.56003739          ; 108.07 -221.57     ;67.13     ;11.70       ;2.07     
209 ;* mu.01 Cru                ;* mu.01 Cru                        ;193.6484356196 -57.1779229236      ;  -30.69 -13.08     ;7.87      ;13.90       ;4.04     
210 ;* chi Pup                  ;* chi Pup                          ;119.4171094421400 -30.3345712422800;   -8.220 6.546     ;1.7157    ;30.00       ;4.79     
211 ;* bet Lep                  ;* bet Lep                          ;082.0613464950 -20.7594410531      ;   -5.02 -86.01     ;20.34     ;-14.20      ;2.84     
212 ;* tau Oph                  ;* tau Oph                          ;270.77049968 -08.18034961          ;   15.78 -37.79     ;19.48     ;-38.39      ;4.79     
213 ;* rho Pav                  ;* rho Pav                          ;309.3971364533 -61.5299206819      ;   59.61 -72.69     ;17.20     ;10.42       ;4.849    
214 ;* bet Cen                  ;* bet Cen                          ;210.95585562 -60.37303516          ;  -33.27 -23.16     ;8.32      ;5.90        ;0.58     
215 ;NOVA Pup 2007 b            ;V* V598 Pup                        ;106.4270827243800 -38.2442877260900;    0.927 7.149     ;0.5403    ;~           ;     ~   
216 ;* omi Lup                  ;* omi Lup                          ;222.9095953771 -43.5753601517      ;  -25.20 -27.13     ;8.07      ;7.30        ;4.313    
217 ;* nu.01 Sgr                ;* nu.01 Sgr                        ;283.5424086792800 -22.7448396158700;   3.919 -8.092     ;1.8387    ;-11.57      ;4.845    
218 ;* F Hya                    ;* F Hya                            ;130.9182227138 -07.2337311914      ;   -11.62 -1.36     ;4.24      ;27.68       ;4.625    
219 ;* del Dra                  ;* del Dra                          ;288.1387581854 +67.6615404392      ;    95.74 91.92     ;33.48     ;24.818      ;3.07     
220 ;* ksi Dra                  ;* ksi Dra                          ;268.3822067642 +56.8726428506      ;    93.82 78.50     ;28.98     ;-26.46      ;3.75     
221 ;* bet Cam                  ;* bet Cam                          ;075.8545401287 +60.4422470908      ;   -6.50 -14.15     ;3.74      ;-0.56       ;4.02     
222 ;* f Pup                    ;* f Pup                            ;114.34212409 -34.96853080          ;   -14.21 16.32     ;9.05      ;24.00       ;4.53     
223 ;* 12 Per                   ;* 12 Per                           ;040.5621440309600 +40.1939504812500;-18.669 -186.190    ;41.7962   ;-23.04      ;4.92     
224 ;* 72 Leo                   ;* 72 Leo                           ;168.8009461983 +23.0955103578      ;   -25.56 -6.00     ;3.40      ;14.76       ;4.63     
225 ;* mu. Her                  ;* mu.01 Her                        ;266.6147804003271 +27.7207113830347;-312.087 -773.179   ;119.9248  ;-17.78      ;3.42     
226 ;GES J12382679-6030470      ;Cl* Trumpler 20 PMF 6456           ;189.611664 -60.512955              ;            ~ ~     ;      ~   ;-18.64      ;     ~   
227 ;* 2 Lyn                    ;* 2 Lyn                            ;094.9057690812 +59.0109634094      ;    -5.35 23.86     ;20.83     ;-2.00       ;4.434    
228 ;* del Leo                  ;* del Leo                          ;168.52708927 +20.52371814          ; 143.42 -129.88     ;55.82     ;-20.90      ;2.53     
229 ;* tau Vir                  ;* tau Vir                          ;210.4116392262 +01.5445318167      ;   17.49 -21.27     ;14.50     ;-6.70       ;4.237    
230 ;* gam Tri                  ;* gam Tri                          ;034.3286126396 +33.8471930692      ;   44.64 -52.57     ;29.04     ;9.90        ;4.00     
231 ;* eps Mon A                ;* eps Mon A                        ;095.9420225716300 +04.5928823613700;  -15.127 7.701     ;24.0777   ;13.10       ;4.398    
232 ;* rho Ori                  ;* rho Ori                          ;078.32283394 +02.86126329          ;      0.83 3.91     ;9.32      ;40.50       ;4.44     
233 ;* gam02 Vol                ;* gam02 Vol                        ;107.1869403982900 -70.4989304021000; 23.620 108.653     ;24.4775   ;2.80        ;3.746    
234 ;* 64 Eri                   ;* 64 Eri                           ;074.9822366279800 -12.5374167856700; 39.894 -87.358     ;11.5441   ;-8.90       ;4.770    
235 ;* e Boo                    ;* e Boo                            ;207.4284365377400 +21.2641013137000;  31.230 17.196     ;4.7492    ;-2.6        ;4.91     
236 ;* psi02 Aqr                ;* psi02 Aqr                        ;349.4758905025 -09.1825187567      ;   17.13 -11.70     ;8.12      ;-5.00       ;4.40     
237 ;V* KQ Pup                  ;V* KQ Pup                          ;113.4498616017700 -14.5239039878500;   -6.997 3.998     ;1.3538    ;22.0        ;4.97     
238 ;* gam Equ                  ;* gam Equ                          ;317.5854169671500 +10.1315811021600;45.456 -152.116     ;28.2433   ;-16.489     ;4.68     
239 ;[BAB2009] C                ;[BAB2009] C                        ;116.725917 +39.005903              ;            ~ ~     ;      ~   ;~           ;     ~   
240 ;* eps Cen                  ;* eps Cen                          ;204.97190723 -53.46639115          ;  -15.30 -11.72     ;7.63      ;3.0         ;2.30     
241 ;* bet Pav                  ;* bet Pav                          ;311.2395582896 -66.2032140989      ;    -42.67 9.94     ;24.14     ;3.70        ;3.408    
242 ;* tau02 Lup                ;* tau02 Lup                        ;216.54505742 -45.37927841          ;    14.62 -7.33     ;10.22     ;-0.60       ;4.35     
243 ;* sig Lib                  ;* sig Lib                          ;226.0175669854 -25.2819612878      ;  -71.16 -43.34     ;11.31     ;-3.90       ;3.21     
244 ;* nu. Aqr                  ;* nu. Aqr                          ;317.3985370042 -11.3716903083      ;   94.12 -14.62     ;20.47     ;-11.26      ;4.52     
245 ;* nu.03 CMa                ;* nu.03 CMa                        ;099.4725890920300 -18.2374806850100;  -7.166 -8.777     ;6.7876    ;-1.09       ;4.43     
246 ;* b Per                    ;* b Per                            ;064.5609037442 +50.2955015944      ;   45.42 -56.72     ;10.40     ;19.8        ;4.594    
247 ;* 52 Her                   ;* 52 Her                           ;252.30924256 +45.98332279          ;   22.57 -51.35     ;18.10     ;-1.60       ;4.823    
248 ;* del Cen                  ;* del Cen                          ;182.0895734887 -50.7224273928      ;   -49.94 -7.19     ;7.86      ;11.00       ;2.52     
249 ;* 46 Cet                   ;* 46 Cet                           ;021.4051643485000 -14.5987851581800; 38.357 -18.188     ;11.3726   ;-25.25      ;4.907    
250 ;HD 66141                   ;* G CMi                            ;120.5664038383367 +02.3345719017650;-28.194 105.650     ;12.5234   ;71.57       ;4.38     
251 ;* H Pup                    ;* H Pup                            ;105.9733421866800 -49.5839387225300;-56.878 149.108     ;16.2073   ;26.8        ;4.925    
252 ;* tau PsA                  ;* tau PsA                          ;332.5365841445521 -32.5484084150861; 428.832 13.475     ;54.1773   ;-15.902     ;4.92     
253 ;HR 244                     ;HD 5015                            ;013.2674851758000 +61.1239720249600;-68.298 169.435     ;52.9017   ;20.682      ;4.80     
254 ;* alf Aql                  ;* alf Aql                          ;297.69582730 +08.86832120          ;  536.23 385.29     ;194.95    ;-26.60      ;0.76     
255 ;* 60 Her                   ;* 60 Her                           ;256.3445434300700 +12.7408264939300; 49.982 -11.622     ;23.6844   ;-4.2        ;4.871    
256 ;* bet Tri                  ;* bet Tri                          ;032.38594634 +34.98729706          ;  149.16 -39.10     ;25.71     ;12.30       ;3.00     
257 ;* alf Sex                  ;* alf Sex                          ;151.9845156950100 -00.3716703684900; -13.060 -9.669     ;7.6582    ;10.00       ;4.49     
258 ;* tet Per                  ;* tet Per                          ;041.0499442308762 +49.2284485192150;334.708 -89.251     ;89.6850   ;24.394      ;4.11     
259 ;* iot Lep                  ;* iot Lep                          ;078.0745912671 -11.8692184108      ;   24.39 -31.02     ;14.07     ;23.50       ;4.45     
260 ;* gam Her                  ;* gam Her                          ;245.4800600208 +19.1531282758      ;   -47.39 43.81     ;16.93     ;-35.3       ;3.76     
261 ;* mu. CMa                  ;* mu. CMa A                        ;104.0276913307300 -14.0434309010500;   -1.106 6.383     ;3.4219    ;18.63       ;5.09     
262 ;* zet UMi                  ;* zet UMi                          ;236.0146621467 +77.7944941236      ;    19.91 -1.99     ;8.84      ;-13.10      ;4.274    
263 ;* iot Dra                  ;* iot Dra                          ;231.2323942771 +58.9660651236      ;    -8.36 17.08     ;32.23     ;-10.912     ;3.29     
264 ;* x Vel                    ;* x Vel                            ;159.8266380958 -55.6032673175      ;    -18.80 4.85     ;3.88      ;21.00       ;4.267    
265 ;* eps Cha                  ;* eps Cha                          ;179.90656808 -78.22183830          ;   -40.34 -8.30     ;9.02      ;13.00       ;     ~   
266 ;* 66 Oph                   ;* 66 Oph                           ;270.0658260238 +04.3686156347      ;    1.23 -12.73     ;5.01      ;-12.80      ;4.60     
267 ;* tet And                  ;* tet And                          ;004.2729265135192 +38.6816357293394;-57.551 -14.795     ;18.8747   ;0.9         ;4.61     
268 ;* eta Ind                  ;* eta Ind                          ;311.0097251762 -51.9209713836      ;  155.80 -53.86     ;41.37     ;-1.60       ;4.495    
269 ;* alf02 CVn                ;* alf02 CVn                        ;194.0069425712 +38.3183761417      ;  -235.08 53.54     ;28.41     ;-4.10       ;2.88     
270 ;* ups01 Cen                ;* ups01 Cen                        ;209.6697861879 -44.8035858242      ;  -27.51 -22.44     ;7.63      ;4.8         ;3.87     
271 ;* pi.04 Ori                ;* pi.04 Ori                        ;072.8015196700 +05.6051034181      ;     -2.21 0.85     ;3.10      ;23.3        ;3.680    
272 ;* l Car                    ;* l Car                            ;146.3117134358 -62.5079033039      ;    -12.88 8.19     ;2.09      ;2.5         ;3.40     
273 ;* eta And                  ;* eta And                          ;014.3016674271 +23.4176487853      ;  -43.47 -45.73     ;14.20     ;-10.30      ;4.42     
274 ;* bet Boo                  ;* bet Boo                          ;225.4865099108 +40.3905668353      ;  -40.15 -28.86     ;14.48     ;-18.40      ;3.52     
275 ;CCDM J08295-4443AB         ;HD 72127                           ;127.36451440 -44.72481212          ;     -5.75 6.33     ;1.25      ;22.00       ;5.15     
276 ;* eps01 Ara                ;* eps01 Ara                        ;254.8960366612 -53.1604364722      ;     2.16 22.04     ;9.04      ;23.85       ;4.050    
277 ;* alf Cas                  ;* alf Cas                          ;010.1268377829 +56.5373311583      ;   50.88 -32.13     ;14.29     ;-4.204      ;2.23     
278 ;* 7 Com                    ;* 7 Com                            ;184.0855762879 +23.9454083328      ;   -26.55 -6.22     ;13.08     ;-27.89      ;4.86     
279 ;* 55 Peg                   ;* 55 Peg                           ;346.7510863886800 +09.4094927286100;  7.467 -12.276     ;9.9197    ;-5.34       ;4.520    
