C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
2182;NAME Unukalhai                     ;PM*;236.0669763162 +06.4256286867      ;   133.84 44.81     ;44.10     ;2.63       ;3.800    ;2.630    ;1.82     
2183;* o Her                            ;SB*;246.0451198030800 +06.9482104971500;   2.395 16.148     ;9.2789    ;-30.58     ;5.828    ;5.819    ;     ~   
2184;* n Her                            ;*  ;248.1486892694500 +05.5212199359900;  15.556 -0.282     ;8.5519    ;-26.50     ;5.57     ;5.63     ;     ~   
2185;* k Her                            ;PM*;252.5807533633100 +07.2476835508500;  51.330 -9.057     ;17.0312   ;-3.6       ;5.579    ;5.469    ;     ~   
2186;* 62 Ser                           ;SB*;283.8644215495700 +06.6153010247500;  8.279 -87.939     ;11.7677   ;27.74      ;6.604    ;5.566    ;     ~   
2187;* 19 Aql                           ;PM*;287.2496449507900 +06.0732177882500;-13.024 -80.085     ;21.0662   ;-51.60     ;5.570    ;5.230    ;     ~   
2188;* mu. Aql                          ;PM*;293.5223041337724 +07.3789400915350;213.280 -156.953    ;29.4091   ;-24.472    ;5.63     ;4.45     ;3.55     
2189;* sig Aql                          ;EB*;294.7985099906200 +05.3977722178500;   4.528 -4.507     ;4.1557    ;-4.8       ;5.20     ;5.17     ;     ~   
2190;NAME Alshain                       ;PM*;298.8283035123829 +06.4067642339850;45.944 -480.965     ;73.5249   ;-40.066    ;4.560    ;3.710    ;3.05     
2191;* 13 Del                           ;*  ;311.9513875142200 +06.0082086667100;  8.255 -13.162     ;6.9265    ;-7.00      ;5.62     ;5.64     ;     ~   
2192;* eps Equ                          ;** ;314.76864744 +04.29347810          ;-115.75 -151.70     ;18.49     ;8.20       ;     ~   ;     ~   ;5.6      
2193;* lam Ser                          ;PM*;236.6108925506800 +07.3530687163400;-223.952 -69.763    ;83.9214   ;-66.395    ;5.03     ;4.42     ;3.92     
2194;* 45 Ser                           ;*  ;241.9064128790100 +09.8917409142900; -20.395 -8.684     ;10.0488   ;-27.9      ;5.834    ;5.635    ;     ~   
2195;* 47 Ser                           ;LP?;242.1169824511600 +08.5343109075400; -11.462 -6.052     ;4.6276    ;-22.26     ;7.34     ;5.73     ;     ~   
2196;* i Her                            ;V* ;251.4578831170600 +08.5826135245800;  -1.776 13.985     ;7.6142    ;-21.29     ;6.68     ;5.15     ;     ~   
2197;* iot Oph                          ;PM*;253.5019646342 +10.1653606264      ;  -53.80 -34.04     ;13.30     ;-19.00     ;4.30     ;4.38     ;     ~   
2198;* kap Oph                          ;LP?;254.4170743746 +09.3750312767      ; -292.13 -10.38     ;35.66     ;-55.821    ;4.36     ;3.20     ;2.36     
2199;* 37 Oph                           ;*  ;258.1158512084000 +10.5851556899700;  5.442 -26.270     ;3.5584    ;22.20      ;6.940    ;5.340    ;     ~   
2200;* e Oph                            ;PM*;259.6541259486600 +10.8644753449600;  7.676 -97.830     ;6.3784    ;38.86      ;6.550    ;5.020    ;     ~   
2201;* f Oph                            ;*  ;263.6528946230100 +09.5866963862900;   2.005 -8.963     ;8.6746    ;-13.9      ;5.83     ;5.81     ;     ~   
2202;* 72 Oph                           ;PM*;271.8374330392 +09.5638472500      ;   -62.17 79.66     ;37.55     ;-23.90     ;3.85     ;3.73     ;3.59     
2203;* 71 Oph                           ;*  ;271.8264974923300 +08.7338672394200;   9.318 29.522     ;12.6023   ;-3.00      ;5.592    ;4.640    ;     ~   
2204;NAME Altair                        ;dS*;297.69582730 +08.86832120          ;  536.23 385.29     ;194.95    ;-26.60     ;0.98     ;0.76     ;0.62     
2205;* ups Aql                          ;PM*;296.4164467086000 +07.6131573148600;  53.593 -0.223     ;18.884    ;-29.9      ;6.09     ;5.91     ;     ~   
2206;NAME Libertas                      ;** ;298.5620063246000 +08.4614542883600;101.694 -81.141     ;17.5183   ;-41.66     ;5.759    ;4.707    ;     ~   
2207;* tau Aql                          ;*  ;301.0346453325000 +07.2779643875700;  14.201 12.049     ;6.0972    ;-29.27     ;6.564    ;5.508    ;     ~   
2208;* 16 Ser                           ;SB*;234.1232245562300 +10.0101470531500;42.906 -123.903     ;14.3095   ;2.94       ;6.217    ;5.253    ;     ~   
2209;* h Her                            ;PM*;248.1512162563 +11.4880410922      ; -178.84 -79.27     ;9.29      ;2.92       ;6.34     ;4.85     ;3.65     
2210;* 33 Oph                           ;V* ;255.9137584829600 +13.6053475875600;-21.422 -33.290     ;12.2259   ;-31.70     ;5.913    ;5.908    ;     ~   
2211;* 60 Her                           ;PM*;256.3445434300700 +12.7408264939300; 49.982 -11.622     ;23.6844   ;-4.2       ;5.001    ;4.871    ;     ~   
2212;NAME Rasalhague                    ;** ;263.73362272 +12.56003739          ; 108.07 -221.57     ;67.13     ;11.70      ;2.22     ;2.07     ;1.93     
2213;* 18 Aql                           ;EB*;286.7441787221 +11.0712270383      ;   -0.89 -32.11     ;4.67      ;-18.6      ;5.017    ;5.086    ;     ~   
2214;* ome01 Aql                        ;*  ;289.4541632548100 +11.5954244211800;   1.070 13.640     ;8.266     ;-14.3      ;5.461    ;5.283    ;     ~   
2215;* 28 Aql                           ;*  ;289.9139500625199 +12.3746793581700;   4.249 16.199     ;9.5836    ;3.10       ;5.766    ;5.518    ;     ~   
2216;* b Aql                            ;PM*;291.2424998809592 +11.9444134668139;721.292 642.968     ;67.0153   ;-100.212   ;5.93     ;     ~   ;4.7      
2217;* chi Aql                          ;** ;295.64170119 +11.82658397          ;    1.75 -10.11     ;3.82      ;-17.37     ;5.870    ;5.310    ;     ~   
2218;* pi. Aql                          ;** ;297.1752402213 +11.8158937978      ;   16.16 -10.60     ;6.34      ;12.6       ;6.230    ;5.740    ;6.58     
2219;* omi Aql                          ;PM*;297.7568487337200 +10.4157201270900;241.713 -136.695    ;51.3133   ;0.036      ;5.66     ;     ~   ;4.8      
2220;NAME Tarazed                       ;*  ;296.5649178783 +10.6132613300      ;    16.99 -2.98     ;8.26      ;-2.693     ;4.23     ;2.72     ;1.65     
2221;* phi Aql                          ;SB*;299.0593829691600 +11.4237225223400;   32.745 5.630     ;14.7474   ;-27.2      ;5.283    ;5.278    ;     ~   
2222;* kap Del                          ;PM*;309.7824447824020 +10.0861921309578; 317.681 32.566     ;33.3213   ;-53.697    ;5.77     ;     ~   ;4.6      
2223;* chi Ser                          ;a2*;235.4475613981700 +12.8475260294000;  39.045 -2.923     ;14.7221   ;1.90       ;5.37     ;5.33     ;5.28     
2224;* ups Ser                          ;PM*;236.8221374951900 +14.1154146608200; -56.044 32.670     ;13.1572   ;-34.2      ;5.802    ;5.709    ;     ~   
2225;* 39 Ser                           ;SB*;238.3004049055700 +13.1966262335872;-150.618 -561.240   ;56.2405   ;39.88      ;6.71     ;6.12     ;5.58     
2226;* phi Ser                          ;PM*;239.3107118231600 +14.4144813667200;-122.563 87.140     ;13.5182   ;-70.61     ;6.677    ;5.530    ;     ~   
2227;NAME Cujam                         ;a2*;246.3539778091900 +14.0332672424100; 38.682 -59.551     ;13.1034   ;-5.90      ;4.57     ;4.58     ;4.51     
2228;* 32 Oph                           ;PM*;255.7827962586399 +14.0919483316900; 25.226 -62.651     ;8.0197    ;43.15      ;6.58     ;4.98     ;3.54     
2229;* alf Her B                        ;SB*;258.6632184269552 +14.3900022327875;  -8.332 41.390     ;9.9114    ;-36.7      ;6.030    ;5.322    ;     ~   
2230;NAME Rasalgethi                    ;** ;258.66190909 +14.39034061          ;    -7.32 36.07     ;9.07      ;-32.09     ;4.51     ;3.06     ;     ~   
2231;* 93 Her                           ;*  ;270.0142354889600 +16.7509179428800; -7.269 -10.923     ;4.3043    ;-24.47     ;5.93     ;4.67     ;3.80     
2232;* eps Aql                          ;SB*;284.9056515780500 +15.0682810414600;-51.062 -69.439     ;18.1821   ;-45.90     ;5.10     ;4.02     ;3.26     
2233;* 10 Aql                           ;a2*;284.6955169463700 +13.9066504754700;  0.238 -47.108     ;13.3917   ;17.298     ;6.14     ;5.89     ;     ~   
2234;NAME Okab                          ;PM*;286.3525333979 +13.8634772811      ;   -7.25 -95.56     ;39.28     ;-25.00     ;3.00     ;2.99     ;2.98     
2235;* 11 Aql                           ;PM*;284.7739115841500 +13.6222428715400;14.853 -124.527     ;20.9316   ;13.870     ;5.788    ;5.258    ;     ~   
2236;* eta Del                          ;PM*;308.4876747698000 +13.0272038654500;  69.654 39.707     ;18.1436   ;-25.00     ;5.453    ;5.380    ;     ~   
2237;NAME Aldulfin                      ;V* ;308.3032163325 +11.3032614408      ;   11.96 -28.97     ;9.87      ;-19.40     ;3.90     ;4.03     ;4.05     
2238;* iot Del                          ;SB*;309.4546656906600 +11.3776752315500;  38.867 -8.609     ;16.6478   ;-3.9       ;5.466    ;5.418    ;     ~   
2239;* 15 Del                           ;PM*;312.4073637672199 +12.5451274660500;  52.776 97.020     ;33.0028   ;4.613      ;6.421    ;5.991    ;     ~   
2240;NAME Musica                        ;PM*;314.6080563729100 +10.8392863526400;-49.921 -34.509     ;13.3021   ;4.35       ;6.432    ;5.506    ;     ~   
2241;* tau01 Ser                        ;*  ;231.4474890192900 +15.4280363510800; -13.172 -7.790     ;3.9411    ;-16.51     ;6.83     ;5.17     ;     ~   
2242;* tau05 Ser                        ;PM*;234.1218317810700 +16.1190842291800;  72.175 -5.217     ;19.2694   ;-2.00      ;6.255    ;5.926    ;     ~   
2243;* tau06 Ser                        ;*  ;235.2462518315900 +16.0245892276000; 21.853 -16.611     ;7.1383    ;3.96       ;6.896    ;5.991    ;     ~   
2244;NAME Chow                          ;PM*;236.5468931075 +15.4218321850      ;   65.38 -38.61     ;21.03     ;0.60       ;3.73     ;3.67     ;3.61     
2245;* gam Ser                          ;PM*;239.1132612283 +15.6616168056      ;310.93 -1282.19     ;88.86     ;6.523      ;4.34     ;3.84     ;3.37     
2246;* kap Her A                        ;*  ;242.0188568448200 +17.0469775290900; -34.067 -6.700     ;8.2812    ;-10.50     ;5.927    ;4.994    ;     ~   
2247;* 54 Her                           ;PM*;253.8423650343600 +18.4332120451300;-113.970 11.482     ;9.0037    ;10.98      ;6.774    ;5.354    ;     ~   
2248;* 111 Her                          ;PM*;281.7551429700600 +18.1815160622200; 98.835 115.120     ;34.9987   ;-44.6      ;4.49     ;4.36     ;4.19     
2249;* bet Sge                          ;*  ;295.2622456463300 +17.4760424112200;  8.180 -33.113     ;7.3764    ;-21.76     ;5.43     ;4.38     ;3.66     
2250;* eps Sge                          ;*  ;294.3224711179600 +16.4628036828100;  16.543 13.955     ;5.7371    ;-32.49     ;6.663    ;5.659    ;     ~   
2251;* 11 Sge                           ;*  ;299.4393561440099 +16.7891605783300;  11.609 18.605     ;7.5596    ;-26.10     ;5.480    ;5.534    ;     ~   
2252;* 10 Sge                           ;cC*;299.0052620614400 +16.6347950156700;   0.375 -7.100     ;1.6673    ;-9.91      ;6.03     ;5.36     ;6.81     
2253;* 14 Sge                           ;SB*;300.8750614983200 +16.0312523073900;   5.420 -8.189     ;4.9546    ;-16.20     ;5.550    ;5.658    ;     ~   
2254;* rho Aql                          ;PM*;303.5692445109300 +15.1976073380800;  55.446 57.339     ;20.9054   ;-23.0      ;5.006    ;4.946    ;     ~   
2255;* zet Del                          ;*  ;308.8272318113 +14.6742131969      ;    45.52 11.74     ;14.82     ;-25.0      ;4.738    ;4.647    ;     ~   
2256;NAME Rotanev                       ;SB*;309.38725542 +14.59508875          ;  118.09 -48.06     ;32.33     ;-32.57     ;4.07     ;3.63     ;3.23     
2257;* tet Del                          ;*  ;309.6832771641300 +13.3151265169800;    2.985 0.088     ;1.6865    ;-15.09     ;7.23     ;5.71     ;4.63     
2258;* 10 Del                           ;V* ;310.3175330595600 +14.5828779489700;  -9.462 -0.344     ;6.6178    ;-24.48     ;7.247    ;5.998    ;     ~   
2259;* del Del                          ;dS*;310.8647224304 +15.0745770283      ;  -20.44 -43.33     ;14.61     ;9.3        ;4.701    ;4.417    ;     ~   
2260;* 17 Del                           ;V* ;313.9028707936800 +13.7215362732400; 16.457 -11.468     ;6.3132    ;-11.09     ;6.293    ;5.182    ;     ~   
2261;* 16 Del                           ;** ;313.9107076696700 +12.5685770643000;  39.558 27.772     ;16.4866   ;2.00       ;5.650    ;5.540    ;     ~   
2262;* tau07 Ser                        ;** ;235.4779857559500 +18.4640365018600; -61.654 54.319     ;18.7185   ;-27.80     ;5.994    ;5.792    ;     ~   
2263;NAME Gudja                         ;PM*;237.1849031829 +18.1415650617      ;  -51.88 -88.10     ;8.54      ;-38.48     ;5.71     ;4.09     ;2.84     
2264;* r Her                            ;SB*;240.3096322388499 +17.8183786674400;-42.530 160.937     ;11.7099   ;-17.85     ;     ~   ;     ~   ;4.5      
2265;* 16 Her                           ;PM*;243.8693123895900 +18.8080882206400;-68.674 -84.561     ;10.7115   ;-19.34     ;6.81     ;5.69     ;     ~   
2266;* gam Her                          ;** ;245.4800600208 +19.1531282758      ;   -47.39 43.81     ;16.93     ;-35.3      ;4.03     ;3.76     ;3.47     
2267;* s Her                            ;RG*;247.6397853320200 +20.4791873643100;-89.230 -65.160     ;4.7137    ;17.14      ;6.484    ;5.243    ;     ~   
2268;* 98 Her                           ;V* ;271.5079189931099 +22.2188757177800; -12.557 -6.890     ;5.5451    ;-19.48     ;6.64     ;5.06     ;     ~   
2269;* 96 Her                           ;SB*;270.5960296909600 +20.8336352150200;   0.178 -9.369     ;3.3399    ;-14.9      ;5.141    ;5.249    ;     ~   
2270;* 102 Her                          ;*  ;272.1895475788 +20.8145577417      ;    -1.92 -5.89     ;3.56      ;-14.90     ;4.177    ;4.347    ;     ~   
2271;* 101 Her                          ;*  ;272.2202660955200 +20.0452329786400;  9.056 -20.830     ;9.5493    ;-16.3      ;5.259    ;5.099    ;     ~   
2272;* 106 Her                          ;PM*;275.0746455692100 +21.9612964093900; 17.962 -59.923     ;8.3436    ;-35.20     ;6.54     ;4.96     ;3.62     
2273;* 109 Her                          ;** ;275.9245404425350 +21.7697526691794;195.971 -243.234    ;26.9636   ;-58.16     ;5.02     ;3.84     ;2.99     
2274;* 110 Her                          ;PM*;281.4155236636863 +20.5463091906289;-9.086 -335.655     ;51.6743   ;22.772     ;4.65     ;4.19     ;3.80     
2275;* 112 Her                          ;SB*;283.0684499202200 +21.4251422758700; -7.526 -10.231     ;7.8558    ;-19.8      ;5.304    ;5.393    ;     ~   
2276;* 1 Sge                            ;*  ;288.8223372128600 +21.2321174102600;   35.015 7.515     ;11.8854   ;-23.1      ;5.756    ;5.642    ;     ~   
2277;* 4 Vul                            ;PM*;291.3691778323800 +19.7983528275200; 87.690 -73.705     ;12.7495   ;0.95       ;6.14     ;5.16     ;     ~   
2278;* 5 Vul                            ;*  ;291.5551925453200 +20.0977346281700;  3.431 -35.132     ;13.8631   ;-21.2      ;5.585    ;5.591    ;     ~   
2279;* 9 Vul                            ;V* ;293.6454043779000 +19.7734006339200;   12.100 5.142     ;5.8317    ;5.00       ;4.91     ;5.00     ;5.01     
2280;NAME Sham                          ;*  ;295.0241305482700 +18.0138907281900; 15.076 -20.287     ;7.6353    ;1.667      ;5.16     ;4.38     ;3.79     
2281;* del Sge                          ;SB*;296.8469399888300 +18.5343135711800;    7.277 0.318     ;5.9674    ;2.5        ;5.23     ;3.82     ;2.37     
2282;* zet Sge                          ;** ;297.244417 +19.142042              ;      18.7 26.5     ;12.79     ;-16.60     ;5.105    ;5.034    ;6.62     
2283;* gam Sge                          ;PM*;299.6892859437 +19.4921466886      ;    66.21 22.22     ;12.62     ;-34.00     ;5.04     ;3.47     ;2.27     
2284;* 13 Sge                           ;LP*;300.0137829905900 +17.5165079196400;  1.272 -13.365     ;3.4239    ;-17.56     ;7.00     ;5.35     ;     ~   
2285;* 15 Sge                           ;PM*;301.0259198680087 +17.0701879323336;-387.472 -419.497   ;56.2693   ;4.57       ;6.390    ;5.788    ;5.4      
2286;NAME Sualocin                      ;** ;309.9095300038 +15.9120732600      ;     53.82 8.47     ;12.85     ;-3.40      ;3.740    ;3.800    ;3.77     
2287;* gam01 Del                        ;PM*;311.6619210251800 +16.1241282718500;-11.702 -203.994    ;27.8884   ;-6.97      ;5.53     ;4.96     ;3.6      
2288;* gam02 Del                        ;PM*;311.6645825998600 +16.1242939540900;-30.476 -197.504    ;28.1359   ;-6.17      ;5.26     ;4.25     ;4.1      
2289;* iot Ser                          ;** ;235.3877278775 +19.6703994403      ;  -60.86 -43.69     ;17.16     ;-17.2      ;4.563    ;4.505    ;     ~   
2290;* rho Ser                          ;PM*;237.8162886463546 +20.9779204329550; -53.507 17.999     ;8.0776    ;-61.96     ;6.32     ;4.78     ;3.56     
2291;NAME Kornephoros                   ;SB*;247.5549981108 +21.4896113272      ;  -99.15 -15.39     ;23.44     ;-25.91     ;3.70     ;2.77     ;2.13     
2292;NAME Sarin                         ;SB*;258.75796074 +24.83920697          ; -21.18 -156.48     ;43.41     ;-40.0      ;3.21     ;3.13     ;3.08     
2293;* 70 Her                           ;*  ;260.2258579214600 +24.4994357799900; -19.355 -1.631     ;7.4167    ;-18.00     ;5.09     ;5.12     ;     ~   
2294;* 73 Her                           ;PM*;261.0274462494700 +22.9602822574700;-43.501 -38.046     ;23.4066   ;-19.7      ;5.930    ;5.720    ;     ~   
2295;* 79 Her                           ;** ;264.3796136467100 +24.3100063271100;  -25.328 1.821     ;12.1085   ;-4.00      ;5.900    ;5.760    ;     ~   
2296;* 83 Her                           ;PM*;265.6181762672000 +24.5640573044200;-54.917 -103.891    ;8.7284    ;-28.60     ;6.993    ;5.558    ;     ~   
2297;* 84 Her                           ;PM*;265.8398521702599 +24.3278213803900;-116.087 72.261     ;25.3989   ;-23.294    ;6.394    ;5.729    ;     ~   
2298;* 105 Her                          ;SB*;274.7944976737000 +24.4460563978800;   10.121 5.627     ;2.6664    ;-15.90     ;6.807    ;5.279    ;     ~   
2299;* 113 Her                          ;SB*;283.6870207897500 +22.6450754137400;    6.571 1.305     ;7.5501    ;-23.8      ;5.38     ;4.60     ;3.96     
2300;* 2 Vul                            ;Pu*;289.4318141273000 +23.0255393895300;   0.956 -6.636     ;1.8212    ;1.00       ;5.43     ;5.43     ;     ~   
2301;* 1 Vul                            ;SB*;289.0543299854600 +21.3904290320300;  -0.383 -5.809     ;4.2065    ;-17.0      ;4.72     ;4.77     ;4.76     
2302;* 12 Vul                           ;Be*;297.7671179523400 +22.6100480549900; 23.404 -15.797     ;5.171     ;-24.90     ;4.84     ;4.96     ;4.98     
2303;* eta Sge                          ;PM*;301.2895539277600 +19.9910730242900;  30.128 80.000     ;20.8671   ;-40.53     ;6.139    ;5.093    ;     ~   
2304;* pi. Ser                          ;*  ;240.5737145162300 +22.8044525399400;   4.500 23.359     ;18.695    ;-28.20     ;4.887    ;4.817    ;     ~   
2305;* 10 Her                           ;LP?;242.9084808109099 +23.4948013997400;-21.233 -11.973     ;4.7493    ;-22.68     ;7.26     ;5.70     ;     ~   
2306;* 51 Her                           ;*  ;252.9385897870500 +24.6564328174000;    9.434 5.541     ;4.2981    ;-18.64     ;6.282    ;5.029    ;     ~   
2307;NAME Maasym                        ;V* ;262.6846242540200 +26.1106456122900;  18.782 16.184     ;8.2943    ;-26.51     ;5.85     ;4.41     ;3.37     
2308;* mu.01 Her                        ;** ;266.6147804003271 +27.7207113830347;-312.087 -773.179   ;119.9248  ;-17.78     ;4.17     ;3.42     ;2.89     
2309;* 87 Her                           ;*  ;267.2047758442000 +25.6228684169900; -4.349 -38.848     ;15.4736   ;-25.26     ;6.245    ;5.100    ;     ~   
2310;* 89 Her                           ;pA*;268.8549514483899 +26.0499912382400;    3.980 5.282     ;0.7608    ;-28.5      ;5.70     ;5.36     ;5.06     
2311;* 100 Her A                        ;** ;271.9565282685900 +26.1012616443200; -16.345 39.822     ;15.6527   ;-17.00     ;5.966    ;5.819    ;     ~   
2312;* 100 Her B                        ;*  ;271.9562610383799 +26.0973328084800;  -9.120 31.964     ;15.6586   ;-16.00     ;5.92     ;5.79     ;     ~   
2313;* 3 Vul                            ;Pu*;290.7120231289100 +26.2624075944600;  0.922 -10.270     ;8.9071    ;-12.2      ;5.065    ;5.192    ;     ~   
2314;* 3 Cyg                            ;** ;291.3573248304300 +24.9127750367114;-176.737 -630.847   ;35.3331   ;-2.219     ;6.70     ;     ~   ;5.9      
2315;NAME Anser                         ;PM*;292.1763748138 +24.6649034597      ;-126.13 -107.44     ;10.97     ;-85.391    ;5.95     ;4.45     ;3.24     
2316;* 8 Vul                            ;*  ;292.2378471561500 +24.7686836101000;   8.713 16.613     ;7.0762    ;-27.09     ;6.841    ;5.812    ;     ~   
2317;* 13 Vul                           ;*  ;298.3653988299400 +24.0796133718500;  22.325 36.510     ;9.6342    ;-28.10     ;4.57     ;4.64     ;     ~   
2318;* 14 Vul                           ;PM*;299.7939029444800 +23.1012789310000;  -68.157 6.926     ;18.7753   ;-38.00     ;5.990    ;5.660    ;     ~   
2319;* 17 Vul                           ;*  ;301.7225320091000 +23.6144247756900;   15.246 0.316     ;6.8168    ;-7.60      ;4.891    ;5.056    ;     ~   
2320;* 22 Vul                           ;EB*;303.8759943277999 +23.5089030749200;   2.852 -7.278     ;2.1872    ;-22.8      ;6.192    ;5.176    ;     ~   
2321;* 29 Vul                           ;PM*;309.6305785219600 +21.2011625615900;   69.968 7.444     ;18.2449   ;-17.10     ;4.80     ;4.82     ;4.79     
2322;* del CrB                          ;RS*;237.3985291544300 +26.0683928639200;-78.907 -64.894     ;19.4965   ;-20.36     ;5.43     ;4.63     ;4.00     
2323;* eps CrB                          ;PM*;239.3968808417421 +26.8778796257681;-77.716 -60.971     ;13.4922   ;-32.42     ;5.360    ;4.130    ;3.27     
2324;* 39 Her                           ;SB*;250.4029135497900 +26.9168801970100;  1.208 -44.761     ;23.1794   ;-13.60     ;6.31     ;5.916    ;     ~   
2325;* 78 Her                           ;*  ;262.9565801716500 +28.4075005029500;   7.398 26.535     ;11.9929   ;-25.70     ;5.650    ;5.650    ;     ~   
2326;* nu. Her                          ;LP*;269.6256212212 +30.1892741714      ;     -0.81 2.18     ;3.79      ;-24.302    ;4.80     ;4.41     ;4.01     
2327;* ksi Her                          ;LP*;269.4411904642 +29.2478798636      ;   82.44 -18.73     ;23.84     ;-1.756     ;4.64     ;3.70     ;3.01     
2328;* b Her                            ;SB*;271.7566277537200 +30.5621069145800;-100.150 53.998     ;63.3943   ;-0.17      ;5.67     ;5.13     ;4.61     
2329;* omi Her                          ;Be*;271.8856280275 +28.7624910675      ;     -0.02 8.55     ;9.65      ;-29.50     ;3.802    ;3.827    ;     ~   
2330;* 108 Her                          ;SB*;275.2373759792000 +29.8589231721800;   1.341 53.261     ;17.9191   ;-24.18     ;5.84     ;5.63     ;     ~   
2331;* t Her                            ;*  ;275.2542506875700 +28.8699513498200;   4.022 47.670     ;11.8758   ;-29.6      ;5.322    ;5.115    ;     ~   
2332;* bet02 Cyg                        ;Be*;292.6891507574600 +27.9652747551700;  -1.078 -1.540     ;8.1896    ;-18.80     ;5.01     ;5.11     ;     ~   
2333;NAME Albereo                       ;** ;292.68033548 +27.95968007          ;    -7.17 -6.15     ;7.51      ;-24.07     ;4.21     ;3.08     ;2.21     
2334;* 10 Vul                           ;*  ;295.9288196711800 +25.7719201927500;  17.819 15.190     ;9.0521    ;-8.63      ;6.433    ;5.497    ;     ~   
2335;* 20 Vul                           ;Be*;303.0029229713400 +26.4788066023300;   4.308 -9.834     ;3.1879    ;-22.00     ;5.81     ;5.92     ;     ~   
2336;* 24 Vul                           ;*  ;304.1961927828100 +24.6711013260300; 15.128 -17.015     ;7.97      ;15.06      ;6.248    ;5.302    ;     ~   
2337;* 25 Vul                           ;Be*;305.5142934419200 +24.4461013862900;   0.882 -6.543     ;2.5972    ;-11.00     ;5.45     ;5.56     ;5.59     
2338;* 28 Vul                           ;*  ;309.6329770046000 +24.1159591206700;   9.807 -7.535     ;6.0025    ;-22.60     ;4.915    ;5.049    ;     ~   
2339;* 33 Vul                           ;*  ;314.5681276759200 +22.3259073453700;  -3.462 -4.667     ;6.2541    ;-24.94     ;6.708    ;5.288    ;     ~   
2340;* ome Boo                          ;*  ;225.5271199828700 +25.0081387982800; -5.335 -49.180     ;8.5271    ;12.76      ;6.31     ;4.81     ;3.62     
2341;* c Boo                            ;PM*;226.8252747284799 +24.8691942795500;184.714 -164.279    ;51.1875   ;-11.20     ;5.36     ;4.93     ;4.53     
2342;NAME Alphecca                      ;EB*;233.67195002 +26.71469278          ;  120.27 -89.58     ;43.46     ;1.7        ;2.22     ;2.24     ;2.21     
2343;* iot CrB                          ;SB*;240.3606871635400 +29.8510609467600; -37.817 -7.016     ;8.7701    ;-20.80     ;4.921    ;4.971    ;     ~   
2344;* ups CrB                          ;V* ;244.1866129003799 +29.1502606225800; 23.672 -16.546     ;5.2987    ;0.80       ;5.836    ;5.779    ;     ~   
2345;* ksi CrB                          ;** ;245.5242661095500 +30.8919959578000;-97.373 107.313     ;17.192    ;-29.07     ;5.833    ;4.849    ;     ~   
2346;* zet Her                          ;SB*;250.32150433 +31.60271870          ; -461.52 342.28     ;93.32     ;-67.80     ;3.430    ;2.800    ;2.31     
2347;* 48 Her                           ;PM*;252.3136554364500 +29.9647120527900; -62.714 78.912     ;3.3635    ;-43.2      ;7.830    ;6.580    ;5.71     
2348;* 50 Her                           ;V* ;252.6623270658400 +29.8065396889100;  -5.386 -2.643     ;3.4641    ;-13.320    ;7.32     ;5.72     ;     ~   
2349;* 53 Her                           ;PM*;253.2419074150500 +31.7016730044900;-91.057 -17.686     ;33.6014   ;-21.80     ;5.640    ;5.333    ;     ~   
2350;* eps Her                          ;SB*;255.0723907454 +30.9264045803      ;   -47.69 26.90     ;21.04     ;-25.1      ;3.91     ;3.92     ;3.93     
2351;* w Her                            ;RG*;260.1648643743333 +32.4677438774611;135.810 -1040.953   ;68.5575   ;-78.608    ;6.01     ;5.39     ;4.89     
2352;* u Her                            ;EB*;259.3315325620600 +33.1001023277900;  -4.298 -5.621     ;3.4356    ;-21.0      ;4.63     ;4.80     ;     ~   
2353;* 104 Her                          ;V* ;272.9756525992700 +31.4053489770600; -15.295 24.487     ;6.2518    ;-1.19      ;6.62     ;4.97     ;     ~   
2354;* nu.01 Lyr                        ;V* ;282.4413259467200 +32.8128184562800;   1.540 -3.721     ;2.6879    ;-26.30     ;5.75     ;5.91     ;     ~   
2355;* nu. Lyr                          ;*  ;282.4704888288100 +32.5510602881100;-10.685 -11.771     ;13.9238   ;9.7        ;5.316    ;5.226    ;     ~   
2356;NAME Sulafat                       ;*  ;284.7359267237 +32.6895556375      ;     -3.09 1.11     ;5.26      ;-20.20     ;3.200    ;3.250    ;3.27     
2357;* 17 Lyr                           ;SB*;286.8565913996400 +32.5017602034800; 114.276 18.316     ;22.8557   ;4.0        ;5.57     ;5.22     ;     ~   
2358;* lam Lyr                          ;V* ;285.0034402627300 +32.1455132119000;    6.232 9.400     ;2.6269    ;-17.355    ;6.401    ;4.930    ;     ~   
2359;* 19 Lyr                           ;a2*;287.9417018655900 +31.2834565963300;  -4.143 -2.763     ;3.4213    ;-30.1      ;5.866    ;5.932    ;     ~   
2360;* 2 Cyg                            ;*  ;291.0315765055100 +29.6213355692100;  12.235 11.229     ;3.6239    ;-23.60     ;4.851    ;4.977    ;     ~   
