C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
844 ;* nu. Cyg  ;* nu. Cyg                          ;** ;20 57 10.4190684 +41 10 01.699109      ;    9.64 -22.75    ; 3.96 
845 ;* nu. Dor  ;* nu. Dor                          ;PM*;06 08 44.2619933 -68 50 36.279685      ;   -50.84 19.01    ;     ~
846 ;* nu. Dra  ;* nu. Dra                          ;** ;17 32 13.0 +55 10 42                   ;            ~ ~    ;     ~
847 ;* nu. Eri  ;* nu. Eri                          ;bC*;04 36 19.1414419 -03 21 08.856678      ;     1.53 -5.01    ; 2.82 
848 ;V* nu. For ;* nu. For                          ;a2*;02 04 29.4386071 -29 17 48.547752      ;     12.79 8.48    ; 4.01 
849 ;* nu. Gem  ;* nu. Gem                          ;Be*;06 28 57.7861342 +20 12 43.685624      ;   -6.82 -13.10    ; 3.51 
850 ;* nu. Gru  ;* nu. Gru                          ;PM*;22 28 39.2103364056 -39 07 54.450501158;  37.43 -160.51    ;     ~
851 ;V* nu. Her ;* nu. Her                          ;LP*;17 58 30.1490931 +30 11 21.387017      ;     -0.81 2.18    ; 4.95 
852 ;* nu. Hor  ;* nu. Hor                          ;PM*;02 49 01.4872272860 -62 48 23.486000858;  94.374 29.013    ;     ~
853 ;* nu. Hya  ;* nu. Hya                          ;PM*;10 49 37.4887449 -16 11 37.135989      ;   93.35 198.88    ; 5.62 
854 ;* nu. Hyi  ;* nu. Hyi                          ;*  ;02 50 28.4591503474 -75 04 00.996934312;-33.392 -27.286    ;     ~
855 ;* nu. Ind  ;* nu. Ind                          ;** ;22 24 36.8853892493 -72 15 19.488237466;1303.872 -674.186  ;     ~
856 ;* nu. Leo  ;* nu. Leo                          ;SB*;09 58 13.3755707 +12 26 41.286492      ;  -25.66 -15.56    ; 5.01 
857 ;* nu. Lep  ;* nu. Lep                          ;*  ;05 19 59.0235505082 -12 18 56.105730220;  -13.010 7.198    ; 4.76 
858 ;* nu. Lib  ;* nu. Lib                          ;*  ;15 06 37.5976214726 -16 15 24.559861419;-37.813 -22.432    ; 8.70 
859 ;* nu. Lyr  ;* nu. Lyr                          ;*  ;18 49 52.9175323922 +32 33 03.815606116;-10.857 -11.670    ;     ~
860 ;* nu. Men  ;* nu. Men                          ;PM*;04 20 58.0722930528 -81 34 47.716622386; 10.145 125.315    ;     ~
861 ;* nu. Mic  ;* nu. Mic                          ;RG*;20 33 55.0723243193 -44 30 57.766259882; 11.727 -35.224    ;     ~
862 ;* nu. Oct  ;* nu. Oct                          ;SB*;21 41 28.5420355132 -77 23 24.031541832;68.656 -250.044    ;     ~
863 ;* nu. Oph  ;* nu. Oph                          ;PM*;17 59 01.5919129 -09 46 25.079852      ;  -9.48 -116.69    ; 5.20 
864 ;* nu. Ori  ;* nu. Ori                          ;SB*;06 07 34.3258759 +14 46 06.506096      ;    6.78 -20.23    ; 3.6  
865 ;V* nu. Ori ;V* nu. Ori                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
866 ;V* nu. Pav ;* nu. Pav                          ;SB*;18 31 22.4250858 -62 16 41.885313      ;   -1.11 -45.31    ; 4.14 
867 ;* nu. Peg  ;* nu. Peg                          ;PM*;22 05 40.7513310188 +05 03 30.716345076;101.759 100.923    ; 8.08 
868 ;* nu. Per  ;* nu. Per                          ;*  ;03 45 11.6320341 +42 34 42.782888      ;    -14.45 2.53    ; 4.50 
869 ;* nu. Phe  ;* nu. Phe                          ;PM*;01 15 11.1214282378 -45 31 53.992580679;665.086 178.070    ; 5.65 
870 ;* nu. Pic  ;* nu. Pic                          ;*  ;06 22 55.8329813990 -56 22 11.884732761;-43.757 -18.483    ;     ~
871 ;* nu. Psc  ;* nu. Psc                          ;*  ;01 41 25.8939097 +05 29 15.406225      ;    -23.36 3.36    ; 7.36 
872 ;* nu. Pup  ;* nu. Pup                          ;Ce*;06 37 45.6713527 -43 11 45.360171      ;    -0.44 -3.87    ; 2.65 
873 ;* nu. Sco  ;* nu. Sco                          ;** ;16 11 59.73568 -19 27 38.5361          ;   -7.65 -23.71    ; 3.42 
874 ;* nu. Ser  ;* nu. Ser                          ;*  ;17 20 49.6614955 -12 50 48.753267      ;     43.40 2.61    ;     ~
875 ;* nu. Tau  ;* nu. Tau                          ;*  ;04 03 09.3796630 +05 59 21.479166      ;     4.72 -3.78    ;     ~
876 ;* nu. Tel  ;* nu. Tel                          ;PM*;19 48 01.1967681192 -56 21 45.406764059;91.447 -136.955    ;     ~
877 ;V* nu. Tuc ;* nu. Tuc                          ;LP?;22 33 00.0623966 -61 58 55.639006      ;   40.07 -20.17    ; 8.17 
878 ;* nu. UMa  ;* nu. UMa                          ;*  ;11 18 28.7366424 +33 05 39.510697      ;   -26.84 28.69    ; 6.44 
879 ;* nu. Vel  ;* nu. Vel                          ;LP*;08 35 41.0470978066 -52 19 20.299967211;  -1.131 14.951    ;     ~
880 ;V* nu. Vir ;* nu. Vir                          ;LP*;11 45 51.5595736 +06 31 45.741287      ; -18.96 -181.56    ; 7.32 
881 ;* ksi And  ;* ksi And                          ;*  ;01 22 20.4190863879 +45 31 43.613235116;   32.342 7.904    ;     ~
882 ;* ksi Aqr  ;* ksi Aqr                          ;SB*;21 37 45.1093071 -07 51 15.129919      ;  114.20 -25.03    ; 5.01 
883 ;* ksi Aql  ;* ksi Aql                          ;** ;19 54 14.8820884109 +08 27 41.227187849;101.177 -80.576    ;     ~
884 ;* ksi Ari  ;* ksi Ari                          ;SB*;02 24 49.0568196347 +10 36 38.025906192; 21.700 -15.975    ; 4.88 
885 ;* ksi Aur  ;* ksi Aur                          ;*  ;05 54 50.7643476114 +55 42 25.076706516;  -5.649 13.137    ;     ~
886 ;V* ksi Boo ;* ksi Boo                          ;BY*;14 51 23.37993 +19 06 01.6994          ;  154.98 -66.43    ; 5.618
887 ;* ksi Cnc  ;* ksi Cnc                          ;SB*;09 09 21.5426641400 +22 02 43.585660607;   -4.565 8.661    ;     ~
888 ;* ksi Cap  ;* ksi Cap                          ;Pe*;20 12 25.8706277984 -12 37 02.993423848; 192.35 -196.20    ;     ~
889 ;* ksi Cas  ;* ksi Cas                          ;SB*;00 42 03.8926969722 +50 30 45.071433667;  15.869 -2.807    ; 4.05 
890 ;* ksi Cep  ;* ksi Cep                          ;** ;22 03 47.45499 +64 37 40.7128          ;   215.46 91.06    ; 4.72 
891 ;* ksi Col  ;* ksi Col                          ;*  ;05 55 29.9103830063 -37 07 14.323188918; 38.020 -23.491    ;     ~
892 ;* ksi CrB  ;* ksi CrB                          ;** ;16 22 05.8235660072 +30 53 31.175905159;-97.118 107.944    ;     ~
893 ;* ksi Cyg  ;* ksi Cyg                          ;SB*;21 04 55.8622910 +43 55 40.264460      ;      7.97 0.06    ; 7.17 
894 ;* ksi Dra  ;* ksi Dra                          ;PM*;17 53 31.7296234 +56 52 21.514262      ;    93.82 78.50    ; 6.14 
895 ;* ksi Eri  ;* ksi Eri                          ;PM*;04 23 40.8522386569 -03 44 43.682867342;  -47.36 -54.91    ;     ~
896 ;* ksi Gem  ;* ksi Gem                          ;PM*;06 45 17.3643205 +12 53 44.131127      ;-115.73 -190.55    ; 3.85 
897 ;* ksi Gru  ;* ksi Gru                          ;*  ;21 32 05.8758290201 -41 10 45.524197826;  19.427 11.278    ;     ~
898 ;* ksi Her  ;* ksi Her                          ;LP*;17 57 45.8857114 +29 14 52.367509      ;   82.44 -18.73    ; 5.34 
899 ;* ksi Hya  ;* ksi Hya                          ;** ;11 33 00.1150559 -31 51 27.443449      ; -209.62 -40.84    ; 5.17 
900 ;* ksi Leo  ;* ksi Leo                          ;PM*;09 31 56.7402898522 +11 17 59.363823394;  -89.98 -81.85    ;     ~
901 ;* ksi Men  ;* ksi Men                          ;*  ;04 58 50.9679103499 -82 28 13.852084663;   -4.701 2.648    ;     ~
902 ;* ksi Oct  ;* ksi Oct                          ;Pu*;22 50 22.8150133339 -80 07 25.843285679; 19.803 -12.518    ; 4.7  
903 ;* ksi Oph  ;* ksi Oph                          ;PM*;17 21 00.3745211364 -21 06 46.571010951;265.543 -202.584   ;     ~
904 ;* ksi Ori  ;* ksi Ori                          ;SB*;06 11 56.3969311 +14 12 31.555546      ;    0.29 -20.12    ; 3.65 
905 ;* ksi Pav  ;* ksi Pav                          ;SB*;18 23 13.6461043757 -61 29 37.936379623;  -5.985 -0.538    ;     ~
906 ;* ksi Peg  ;* ksi Peg                          ;PM*;22 46 41.5798542334 +12 10 22.388860108;233.354 -493.133   ; 4.66 
907 ;V* ksi Per ;* ksi Per                          ;** ;03 58 57.9022917 +35 47 27.713205      ;      3.62 1.74    ; 3.190
908 ;V* ksi Phe ;* ksi Phe                          ;a2*;00 41 46.3973992889 -56 30 04.735321730;  90.349 56.791    ;     ~
909 ;* ksi Psc  ;* ksi Psc                          ;SB*;01 53 33.3598392960 +03 11 15.071378901;  11.482 27.898    ;     ~
910 ;* ksi Pup  ;* ksi Pup                          ;*  ;07 49 17.6556658 -24 51 35.230469      ;    -4.81 -0.89    ; 5.72 
911 ;* ksi Sgr  ;* ksi Sgr                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
912 ;* ksi Sco  ;* ksi Sco                          ;SB*;16 04 22.134576 -11 22 23.17404        ;    -71.5 -34.5    ; 4.65 
913 ;* ksi Ser  ;* ksi Ser                          ;SB*;17 37 35.1998314 -15 23 54.793942      ;  -42.10 -59.94    ;     ~
914 ;V* ksi Tau ;* ksi Tau                          ;EB*;03 27 10.1384893130 +09 43 57.862146153; 72.172 -42.779    ; 3.33 
915 ;* ksi Tel  ;* ksi Tel                          ;V* ;20 07 23.1592921969 -52 52 50.817920631;  -16.042 9.039    ; 8.40 
916 ;* ksi Tuc  ;NGC 104                            ;GlC;00 24 05.359 -72 04 53.20              ;     5.25 -2.53    ;     ~
917 ;* ksi UMa  ;* ksi UMa                          ;RS*;11 18 10.931880 +31 31 45.44004        ;  -453.7 -591.4    ; 4.42 
918 ;* ksi Vir  ;* ksi Vir                          ;PM*;11 45 17.0402717 +08 15 29.215015      ;   60.08 -24.50    ;     ~
919 ;* omi And  ;* omi And                          ;Be*;23 01 55.2645930 +42 19 33.533383      ;     22.99 0.88    ; 3.00 
920 ;* omi Aqr  ;* omi Aqr                          ;Be*;22 03 18.8440292 -02 09 19.306758      ;   24.66 -11.16    ; 4.22 
921 ;* omi Aql  ;* omi Aql                          ;PM*;19 51 01.6437560393 +10 24 56.595177367;241.682 -136.850   ;     ~
922 ;* omi Ari  ;* omi Ari                          ;*  ;02 44 32.9717935247 +15 18 42.708343583;  3.084 -17.109    ;     ~
923 ;* omi Aur  ;* omi Aur                          ;*  ;05 45 54.0452301937 +49 49 34.650021347; -13.122 -1.020    ;     ~
924 ;* omi Boo  ;* omi Boo                          ;PM*;14 45 14.4602643 +16 57 51.407805      ;  -60.69 -50.56    ; 6.33 
925 ;V* omi Cas ;* omi Cas                          ;Be*;00 44 43.5186650 +48 17 03.713573      ;    18.84 -7.18    ; 3.91 
926 ;* omi Cep  ;* omi Cep                          ;** ;23 18 37.49189 +68 06 41.1938          ;    54.33 10.11    ;     ~
927 ;V* omi Cet ;* omi Cet                          ;Mi*;02 19 20.79210 -02 58 39.4956          ;   9.33 -237.36    ;     ~
928 ;* omi Col  ;* omi Col                          ;PM*;05 17 29.0887389637 -34 53 42.722762056;96.167 -339.569    ; 6.62 
929 ;* omi CrB  ;* omi CrB                          ;PM*;15 20 08.5587408139 +29 36 58.343581022;-118.050 -42.807   ; 7.30 
930 ;* omi Dra  ;* omi Dra                          ;RS*;18 51 12.0946469858 +59 23 18.056735314;  78.946 26.673    ;     ~
931 ;* omi Gem  ;* omi Gem                          ;PM*;07 39 09.9362454307 +34 35 03.480603218;-39.197 -103.749   ; 5.41 
932 ;* omi Gru  ;* omi Gru                          ;PM*;23 26 36.5600363755 -52 43 17.673761382; 53.286 119.627    ;     ~
933 ;V* omi Her ;* omi Her                          ;Be*;18 07 32.5507266 +28 45 44.967843      ;     -0.02 8.55    ; 3.74 
934 ;* omi Hya  ;* omi Hya                          ;*  ;11 40 12.7897023 -34 44 40.773362      ;   -43.24 -1.61    ; 4.41 
935 ;* omi Ind  ;* omi Ind                          ;*  ;21 50 47.1653850027 -69 37 45.764407023; -21.189 -3.731    ;     ~
936 ;* omi Leo  ;* omi Leo                          ;SB*;09 41 09.0330479 +09 53 32.310183      ; -143.20 -37.20    ; 4.22 
937 ;* omi Lib  ;* omi Lib                          ;*  ;15 21 01.3897497550 -15 32 54.092414075;  19.992 31.605    ;     ~
938 ;* omi Lup  ;* omi Lup                          ;** ;14 51 38.3028905 -43 34 31.296546      ;  -25.20 -27.13    ; 3.59 
939 ;* omi Oph  ;* omi Oph                          ;** ;17 18 00.6 -24 17 08                   ;            ~ ~    ;     ~
940 ;* omi Ori  ;* omi Ori                          ;S* ;04 52 31.9660398278 +14 15 02.326990690;   -0.05 -54.81    ;     ~
941 ;* omi Pav  ;* omi Pav                          ;V* ;21 13 20.5006640815 -70 07 34.503682804; 43.746 -22.471    ;     ~
942 ;* omi Peg  ;* omi Peg                          ;*  ;22 41 45.3989328992 +29 18 27.554214525; -0.106 -31.691    ; 4.77 
943 ;V* omi Per ;* omi Per                          ;** ;03 44 19.13204 +32 17 17.6929          ;    8.18 -10.43    ; 3.13 
944 ;* omi Psc  ;* omi Psc                          ;PM*;01 45 23.6253260904 +09 09 27.912336751;  71.130 53.109    ; 5.90 
945 ;V* omi Pup ;* omi Pup                          ;Be*;07 48 05.1683937 -25 56 13.812276      ;    -10.09 4.26    ; 3.42 
946 ;* omi Sgr  ;* omi Sgr                          ;PM*;19 04 40.9820400284 -21 44 29.385451232; 77.445 -58.460    ; 5.63 
947 ;* omi Sco  ;* omi Sco                          ;V* ;16 20 38.1806792 -24 10 09.549111      ;   -4.32 -14.15    ; 5.99 
948 ;V* omi Ser ;* omi Ser                          ;dS*;17 41 24.8728627 -12 52 31.108612      ;  -72.90 -55.55    ;     ~
949 ;* omi Tau  ;* omi Tau                          ;SB*;03 24 48.7914590778 +09 01 43.994132248;-59.776 -78.579    ; 5.090
950 ;* omi UMa  ;* omi UMa                          ;PM*;08 30 15.8706401 +60 43 05.411511      ;-133.76 -107.45    ; 4.79 
951 ;V* omi Vel ;* omi Vel                          ;Pu*;08 40 17.5855320 -52 55 18.800233      ;   -24.42 34.44    ; 2.8  
952 ;* omi Vir  ;* omi Vir                          ;PM*;12 05 12.5404884 +08 43 58.749788      ;  -218.69 57.76    ; 5.75 
953 ;* pi. And  ;* pi. And                          ;SB*;00 36 52.8492565 +33 43 09.638398      ;    14.75 -3.51    ; 3.65 
954 ;* pi. Aqr  ;* pi. Aqr                          ;Be*;22 25 16.6228499 +01 22 38.634579      ;     17.83 2.41    ; 3.64 
955 ;* pi. Aql  ;* pi. Aql                          ;** ;19 48 42.0576531 +11 48 57.217672      ;   16.16 -10.60    ; 6.520
956 ;* pi. Ara  ;* pi. Ara                          ;PM*;17 38 05.5156207477 -54 30 01.570465111;-50.892 -149.194   ;     ~
957 ;* pi. Ari  ;* pi. Ari                          ;** ;02 49 17.55924 +17 27 51.5168          ;    2.60 -14.10    ; 4.68 
958 ;* pi. Aur  ;* pi. Aur                          ;LP*;05 59 56.0982950011 +45 56 12.276134867;  -3.987 -9.775    ; 7.80 
959 ;* pi. Boo  ;* pi.01 Boo                        ;*  ;14 40 43.5583584090 +16 25 05.960136146;  14.429 16.513    ; 4.18 
960 ;* pi. Cnc  ;* pi.02 Cnc                        ;*  ;09 15 13.8519575279 +14 56 29.440111851;-40.874 -11.835    ;     ~
961 ;* pi. CMa  ;* pi. CMa                          ;PM*;06 55 37.4315941360 -20 08 11.380998493;  50.035 39.419    ;     ~
962 ;* pi. Cap  ;* pi. Cap                          ;SB*;20 27 19.2014689540 -18 12 42.104759795; 16.914 -16.983    ;     ~
963 ;* pi. Cas  ;* pi. Cas                          ;SB*;00 43 28.0688272805 +47 01 28.376558640;-23.986 -37.646    ;     ~
964 ;* pi. Cen  ;* pi. Cen                          ;** ;11 21 00.40615 -54 29 27.6654          ;   -35.85 -1.72    ;     ~
965 ;* pi. Cep  ;* pi. Cep                          ;SB*;23 07 53.85377 +75 23 14.9951          ;    6.81 -34.06    ; 5.67 
966 ;* pi. Cet  ;* pi. Cet                          ;SB*;02 44 07.3492803 -13 51 31.313011      ;    -8.62 -9.07    ; 3.66 
967 ;* pi. Cha  ;* pi. Cha                          ;PM*;11 37 15.6363077 -75 53 47.562662      ;  -127.94 -1.82    ;     ~
968 ;* pi. CrB  ;* pi. CrB                          ;*  ;15 43 59.2996201407 +32 30 56.901940237; -30.516 -9.405    ;     ~
969 ;* pi. Dra  ;* pi. Dra                          ;*  ;19 20 40.0933316 +65 42 52.309518      ;    15.09 41.12    ; 4.67 
970 ;V* pi. Eri ;* pi. Eri                          ;LP?;03 46 08.5365942237 -12 06 05.696910645;  54.879 57.966    ; 8.05 
971 ;* pi. For  ;* pi. For                          ;PM*;02 01 14.7226685359 -30 00 06.585108110;-109.334 -109.004  ;     ~
972 ;* pi. Gem  ;* pi. Gem                          ;V* ;07 47 30.3237458676 +33 24 56.513672181;-17.399 -28.645    ; 8.69 
973 ;V* pi. Gru ;V* pi. Gru                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
974 ;* pi. Gru  ;* pi.01 Gru                        ;S* ;22 22 44.2112214756 -45 56 52.780402708; 29.218 -10.879    ;10.52 
975 ;* pi. Her  ;* pi. Her                          ;V* ;17 15 02.8343634 +36 48 32.984340      ;    -27.29 2.82    ; 6.28 
976 ;* pi. Hya  ;* pi. Hya                          ;PM*;14 06 22.2974865 -26 40 56.502378      ;  43.70 -141.18    ; 5.45 
977 ;* pi. Ind  ;* pi. Ind                          ;*  ;21 56 14.0570402702 -57 53 58.518175851;   17.245 7.897    ;     ~
978 ;* pi. Leo  ;* pi. Leo                          ;V* ;10 00 12.8058902 +08 02 39.203224      ;  -31.41 -22.15    ; 8.22 
979 ;* pi. Lup  ;* pi. Lup                          ;** ;15 05 07.2349623163 -47 03 03.828968181;-25.175 -17.856    ; 3.17 
980 ;* pi. Men  ;* pi. Men                          ;PM*;05 37 09.8868446714 -80 28 08.834553264;310.909 1049.060   ;     ~
981 ;* pi. Pav  ;* pi. Pav                          ;PM*;18 08 34.8145890 -63 40 06.790622      ;  18.02 -207.57    ;     ~
982 ;* pi. Peg  ;* pi. Peg                          ;*  ;22 09 59.2437138 +33 10 41.597624      ;  -12.87 -18.95    ; 4.93 
983 ;* pi. Per  ;* pi. Per                          ;*  ;02 58 45.6685779114 +39 39 45.821190649; 26.224 -41.899    ; 4.88 
984 ;* pi. Phe  ;* pi. Phe                          ;PM*;23 58 55.7804289138 -52 44 44.907863852;    58.33 61.23    ;     ~
985 ;* pi. Psc  ;* pi. Psc                          ;PM*;01 37 05.9185909801 +12 08 30.265153751; -65.361 19.807    ;     ~
986 ;V* pi. PsA ;* pi. PsA                          ;Ce*;23 03 29.8165324793 -34 44 57.882657520;  72.789 83.569    ;     ~
987 ;* pi. Pup  ;* pi. Pup                          ;LP*;07 17 08.55678 -37 05 50.8962          ;    -10.05 6.47    ; 5.57 
988 ;* pi. Sgr  ;* pi. Sgr                          ;** ;19 09 45.8329260 -21 01 25.010335      ;   -1.36 -36.45    ; 3.46 
989 ;V* pi. Sco ;* pi. Sco                          ;EB*;15 58 51.1132378 -26 06 50.788602      ;  -11.42 -26.83    ; 1.82 
990 ;* pi. Scl  ;* pi. Scl                          ;PM*;01 42 08.6223016791 -32 19 37.286207440;  -76.714 4.521    ;     ~
991 ;* pi. Ser  ;* pi. Ser                          ;*  ;16 02 17.6918382424 +22 48 16.020768024;   4.205 23.880    ;     ~
992 ;* pi. Tau  ;* pi. Tau                          ;*  ;04 26 36.3717811513 +14 42 49.629139596;   -9.52 -31.44    ; 6.39 
993 ;* pi. Tuc  ;* pi. Tuc                          ;*  ;00 20 39.0424293413 -69 37 29.705337534;   -4.541 4.734    ;     ~
994 ;* pi. Vir  ;* pi. Vir                          ;SB*;12 00 52.3904208 +06 36 51.557103      ;    0.26 -30.10    ;     ~
995 ;* rho And  ;* rho And                          ;PM*;00 21 07.2689567019 +37 58 06.972655202; 57.599 -38.378    ;     ~
996 ;* rho Aqr  ;* rho Aqr                          ;SB*;22 20 11.9183032023 -07 49 15.974185849;  13.201 -0.030    ; 4.94 
997 ;* rho Aql  ;* rho Aql                          ;PM*;20 14 16.6190578195 +15 11 51.374752540;    55.03 58.14    ;     ~
998 ;* rho Ari  ;* rho Ari                          ;PM*;02 56 26.1717266513 +18 01 23.665188613;262.027 -231.606   ;     ~
999 ;* rho Aur  ;* rho Aur                          ;SB*;05 21 48.4170902720 +41 48 16.469090398; 14.672 -38.337    ;     ~
1000;* rho Boo  ;* rho Boo                          ;PM*;14 31 49.7896173 +30 22 17.178087      ; -100.90 120.73    ; 6.33 
1001;* rho Cnc  ;* rho01 Cnc                        ;PM*;08 52 35.8111044043 +28 19 50.954994470;-485.681 -233.517  ; 7.45 
1002;* rho Cap  ;* rho Cap                          ;** ;20 28 51.61448 -17 48 49.2693          ;   -14.98 -7.29    ;     ~
1003;V* rho Cas ;* rho Cas                          ;LP*;23 54 23.0339951270 +57 29 57.766930774;  -5.449 -2.613    ; 7.00 
1004;* rho Cen  ;* rho Cen                          ;*  ;12 11 39.1280508829 -52 22 06.406712492;-43.741 -11.771    ; 3.20 
1005;* rho Cep  ;* rho Cep                          ;*  ;22 29 52.9775215061 +78 49 27.430227867;  3.633 -20.722    ; 5.620
1006;* rho Cet  ;* rho Cet                          ;*  ;02 25 57.0060377624 -12 17 25.697269517;-11.786 -10.441    ;     ~
1007;* rho CrB  ;* rho CrB                          ;PM*;16 01 02.6604891411 +33 18 12.639472357;-198.278 -772.245  ;     ~
1008;* rho Cyg  ;* rho Cyg                          ;PM*;21 33 58.8529848 +45 35 30.617851      ;  -23.79 -93.70    ; 5.47 
1009;* rho Dra  ;* rho Dra                          ;PM*;20 02 49.0726835 +67 52 24.829427      ;    16.44 47.31    ; 7.31 
1010;* rho For  ;* rho For                          ;RG*;03 47 56.0407172208 -30 10 04.380679097;  26.35 -231.31    ;     ~
1011;* rho Gem  ;* rho Gem                          ;PM*;07 29 06.71887 +31 47 04.3773          ;  159.09 193.29    ; 4.48 
1012;* rho Gru  ;* rho Gru                          ;PM*;22 43 29.9765442 -41 24 51.646698      ;   10.11 -93.79    ;     ~
1013;* rho Her  ;* rho Her                          ;** ;17 23 40.9441257 +37 08 45.394049      ;    -39.38 7.71    ; 4.11 
1014;* rho Hya  ;* rho Hya                          ;*  ;08 48 25.9705759 +05 50 16.128332      ;  -17.33 -29.41    ;     ~
1015;* rho Ind  ;* rho Ind                          ;PM*;22 54 39.4829644814 -70 04 25.356610041; -43.479 73.028    ; 6.95 
1016;V* rho Leo ;* rho Leo                          ;s*b;10 32 48.6716770 +09 18 23.709445      ;    -5.93 -3.40    ; 2.780
1017;* rho Lup  ;* rho Lup                          ;V* ;14 37 53.2258272 -49 25 32.979759      ;  -28.26 -28.82    ; 3.34 
1018;* rho Oct  ;* rho Oct                          ;PM*;15 43 16.9268282193 -84 27 54.989988256; 137.101 96.007    ;     ~
1019;* rho Oph  ;* rho Oph                          ;** ;16 25 35.11766 -23 26 49.8150          ;   -5.53 -21.74    ; 4.30 
1020;* rho Ori  ;* rho Ori                          ;** ;05 13 17.48015 +02 51 40.5479          ;      0.83 3.91    ; 6.76 
1021;* rho Pav  ;* rho Pav                          ;dS*;20 37 35.3127488 -61 31 47.714455      ;   59.61 -72.69    ;     ~
1022;* rho Peg  ;* rho Peg                          ;PM*;22 55 13.6670582219 +08 48 58.238700099;  80.370 13.282    ; 4.90 
1023;* rho Per  ;* rho Per                          ;LP*;03 05 10.59385 +38 50 24.9943          ; 129.22 -105.70    ; 6.83 
1024;* rho Phe  ;* rho Phe                          ;dS*;00 50 41.1869505641 -50 59 12.546543547;  62.539 44.417    ;     ~
1025;* rho Psc  ;* rho Psc                          ;V* ;01 26 15.2627036850 +19 10 20.454593575; -26.056 11.034    ;     ~
1026;V* rho Pup ;* rho Pup                          ;dS*;08 07 32.6488235 -24 18 15.567946      ;   -83.35 46.23    ; 3.43 
1027;* rho Sco  ;* rho Sco                          ;SB*;15 56 53.0762391 -29 12 50.661185      ;  -15.68 -24.88    ; 2.84 
1028;* rho Ser  ;* rho Ser                          ;PM*;15 51 15.9098483 +20 58 40.516634      ;   -53.32 18.87    ; 8.20 
1029;* rho Tau  ;* rho Tau                          ;dS*;04 33 50.9193650280 +14 50 39.936472608;101.538 -24.090    ; 4.98 
1030;* rho Tel  ;* rho Tel                          ;SB*;19 06 19.9556991283 -52 20 27.288013018;32.475 -116.172    ;     ~
1031;* rho Tuc  ;* rho Tuc                          ;SB*;00 42 28.3718631405 -65 28 04.909225680;  53.432 41.355    ;     ~
1032;* rho UMa  ;* rho UMa                          ;V* ;09 02 32.6940953724 +67 37 46.633099587; -22.677 17.038    ; 8.17 
1033;V* rho Vir ;* rho Vir                          ;dS*;12 41 53.0567802922 +10 14 08.229084878; 82.113 -88.853    ; 5.00 
1034;* sig And  ;* sig And                          ;** ;00 18 19.6574549 +36 47 06.810654      ;  -65.67 -42.00    ; 4.64 
1035;* sig Aqr  ;* sig Aqr                          ;*  ;22 30 38.8228563358 -10 40 40.703057658; -5.708 -25.626    ; 4.59 
1036;V* sig Aql ;* sig Aql                          ;EB*;19 39 11.6427715557 +05 23 51.973399317;   4.156 -4.068    ; 4.60 
1037;* sig Ara  ;* sig Ara                          ;*  ;17 35 39.5895684 -46 30 20.461748      ;  -25.78 -38.30    ; 4.47 
1038;* sig Ari  ;* sig Ari                          ;*  ;02 51 29.5861817320 +15 04 55.443794101; 29.843 -24.661    ;     ~
1039;* sig Aur  ;* sig Aur                          ;*  ;05 24 39.1414246033 +37 23 07.258929748;    0.71 -11.51    ;     ~
1040;* sig Boo  ;* sig Boo                          ;PM*;14 34 40.8171808483 +29 44 42.463685978;188.762 131.222    ; 4.76 
1041;V* sig CMa ;* sig CMa                          ;LP*;07 01 43.1477846 -27 56 05.389774      ;     -5.98 4.59    ; 7.08 
1042;* sig Cap  ;* sig Cap                          ;*  ;20 19 23.6040217771 -19 07 06.696665477;    8.07 -11.31    ;     ~
1043;* sig Cas  ;* sig Cas                          ;** ;23 59 00.53819 +55 45 17.7430          ;     8.14 -5.01    ;     ~
1044;* sig Cen  ;* sig Cen                          ;** ;12 28 02.3820785 -50 13 50.287232      ;  -32.36 -12.51    ; 2.95 
1045;* sig Cet  ;* sig Cet                          ;** ;02 32 05.2288409 -15 14 40.827782      ; -80.21 -146.29    ; 5.19 
1046;* sig Col  ;* sig Col                          ;*  ;05 56 20.9435063070 -31 22 56.775424615;    0.468 6.207    ;     ~
1047;* sig CrB  ;* sig CrB                          ;RS*;16 14 40.85557 +33 51 30.9497          ; -263.39 -92.67    ;     ~
1048;* sig Cyg  ;* sig Cyg                          ;sg*;21 17 24.9524404 +39 23 40.852798      ;    -0.13 -3.58    ; 3.98 
1049;* sig Dra  ;* sig Dra                          ;PM*;19 32 21.5902098601 +69 39 40.235805206;597.384 -1738.286  ; 5.860
1050;* sig For  ;* sig For                          ;*  ;03 46 27.4282984166 -29 20 17.363947080;    6.841 3.569    ;     ~
1051;V* sig Gem ;* sig Gem                          ;RS*;07 43 18.7269793 +28 53 00.642191      ;  62.66 -230.32    ; 6.38 
1052;* sig Her  ;* sig Her                          ;** ;16 34 06.1813704319 +42 26 13.134833754; -14.619 50.549    ;     ~
