C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
523 ;NGC   521  ;NGC 521                            ;LSB;021.1407208016000 +01.7313643963000;            ~ ~   ;      ~  ;5024.3       ;     ~   
524 ;NGC   522  ;NGC 522                            ;GiG;021.19106113 +09.99462306          ;            ~ ~   ;      ~  ;2731         ;     ~   
525 ;NGC   523  ;NGC 523                            ;IG ;021.336437 +34.025158              ;            ~ ~   ;      ~  ;4761         ;     ~   
526 ;NGC   524  ;NGC 524                            ;GiP;021.1989289773900 +09.5389136177500;            ~ ~   ;      ~  ;2420         ;     ~   
527 ;NGC   525  ;NGC 525                            ;G  ;021.2205123661600 +09.7033749958100;            ~ ~   ;      ~  ;2138         ;     ~   
528 ;NGC   526A ;NGC 526                            ;Sy1;020.9765717690800 -35.0654752363300;  -0.005 -0.150   ;0.0265   ;5632         ;14.60    
529 ;NGC   526B ;MCG-06-04-020                      ;GiP;020.9878153471800 -35.0692919517800;   0.152 -0.113   ;0.4438   ;5583         ;14.5     
530 ;NGC   527A ;NGC 527                            ;GiG;020.9922906652900 -35.1151130833000;            ~ ~   ;      ~  ;5713         ;     ~   
531 ;NGC   527B ;MCG-06-04-022                      ;LSB;020.997275 -35.127364              ;            ~ ~   ;      ~  ;5495         ;     ~   
532 ;NGC   528  ;NGC 528                            ;GiG;021.3898934314000 +33.6714127802300;   0.478 -0.536   ;      ~  ;4783         ;     ~   
533 ;NGC   529  ;NGC 529                            ;GiG;021.4178556252800 +34.7130163355000;            ~ ~   ;      ~  ;4862         ;     ~   
534 ;NGC   530  ;NGC 530                            ;GiG;021.1735948620800 -01.5871051220900;            ~ ~   ;      ~  ;4962         ;     ~   
535 ;NGC   531  ;NGC 531                            ;GiG;021.5783131947100 +34.7540793273500;            ~ ~   ;      ~  ;4660         ;     ~   
536 ;NGC   532  ;NGC 532                            ;GiG;021.3222935861900 +09.2642421520400;            ~ ~   ;      ~  ;2358         ;     ~   
537 ;NGC   533  ;NGC 533                            ;GiG;021.3808645767700 +01.7592324046700;            ~ ~   ;      ~  ;5478         ;14.11    
538 ;NGC   534  ;NGC 534                            ;GiG;021.1858925539200 -38.1290970121700;    0.861 0.405   ;0.5692   ;5765         ;     ~   
539 ;NGC   535  ;NGC 535                            ;GiG;021.3797531773600 -01.4082166681900;            ~ ~   ;      ~  ;4862         ;     ~   
540 ;NGC   536  ;NGC 536                            ;AGN;021.5907522981100 +34.7030740359300;            ~ ~   ;      ~  ;5148         ;     ~   
541 ;NGC   538  ;NGC 538                            ;GiG;021.3585960478800 -01.5506200170400;            ~ ~   ;      ~  ;5276         ;     ~   
542 ;NGC   539  ;NGC 539                            ;EmG;021.3405637312600 -18.1638784813200;            ~ ~   ;      ~  ;9593.1       ;     ~   
543 ;NGC   540  ;NGC 540                            ;G  ;021.7871082193300 -20.0365895747500;            ~ ~   ;      ~  ;10103        ;     ~   
544 ;NGC   541  ;NGC 541                            ;IG ;021.4346124271000 -01.3794684252900;            ~ ~   ;      ~  ;5379         ;12.08    
545 ;NGC   542  ;NGC 542                            ;GiG;021.6284975527200 +34.6755132182100;            ~ ~   ;      ~  ;4620         ;     ~   
546 ;NGC   543  ;NGC 543                            ;GiG;021.4583550529200 -01.2927785255200;            ~ ~   ;      ~  ;5223         ;     ~   
547 ;NGC   544  ;NGC 544                            ;GiG;021.3000890554400 -38.0944646276200;    0.288 0.032   ;      ~  ;5946         ;     ~   
548 ;NGC   545  ;NGC 545                            ;BiC;021.49671 -01.34039                ;            ~ ~   ;      ~  ;5296         ;13.34    
549 ;NGC   546  ;NGC 546                            ;EmG;021.3033939719500 -38.0691586626300;            ~ ~   ;      ~  ;6500         ;     ~   
550 ;NGC   547  ;NGC 547                            ;GiP;021.5025870760500 -01.3451201256300;            ~ ~   ;      ~  ;5461         ;13.34    
551 ;NGC   548  ;NGC 548                            ;rG ;021.5104748959800 -01.2256126367900;   0.380 -0.253   ;0.5036   ;5354         ;     ~   
552 ;NGC   549  ;NGC 549                            ;EmG;021.3686726140600 -38.2674776825600;            ~ ~   ;      ~  ;6151         ;     ~   
553 ;NGC   550  ;NGC 550                            ;GiG;021.6773018426400 +02.0223099958800;            ~ ~   ;      ~  ;5807         ;     ~   
554 ;NGC   551  ;NGC 551                            ;G  ;021.9193020577900 +37.1829975643200;            ~ ~   ;      ~  ;5157         ;     ~   
555 ;NGC   554  ;NGC 554                            ;IG ;021.79017 -22.72522                ;            ~ ~   ;      ~  ;9765         ;     ~   
556 ;NGC   554B ;NGC 554B                           ;GiP;021.7892 -22.7242                  ;            ~ ~   ;      ~  ;~            ;     ~   
557 ;NGC   555  ;NGC 555                            ;GiG;021.7992024766100 -22.7620501286100;    0.024 0.870   ;1.8697   ;10145        ;     ~   
558 ;NGC   556  ;NGC 556                            ;G  ;021.8025990798400 -22.6978470707200;            ~ ~   ;      ~  ;9588         ;     ~   
559 ;NGC   557  ;NGC 557                            ;GiG;021.6046886604900 -01.6386436391000;            ~ ~   ;      ~  ;5555         ;     ~   
560 ;NGC   558  ;NGC 558                            ;GiG;021.8173799491900 -01.9709221268900;  -0.722 -0.732   ;      ~  ;4929         ;     ~   
561 ;NGC   559  ;NGC 559                            ;OpC;022.3870 +63.3010                  ;   -4.258 0.254   ;0.325    ;-77.25       ;9.5      
562 ;NGC   560  ;NGC 560                            ;GiG;021.8558562879500 -01.9130036075800;            ~ ~   ;      ~  ;5433         ;     ~   
563 ;NGC   561  ;NGC 561                            ;GiG;022.078212 +34.308708              ;            ~ ~   ;      ~  ;4675         ;     ~   
564 ;NGC   562  ;NGC 562                            ;GiG;022.1220219706100 +48.3871094059200;            ~ ~   ;      ~  ;10085        ;     ~   
565 ;NGC   563  ;NGC 563                            ;G  ;021.7920923164600 -18.6533041078200;            ~ ~   ;      ~  ;9744         ;     ~   
566 ;NGC   564  ;NGC 564                            ;GiG;021.9508254817700 -01.8794230863700;            ~ ~   ;      ~  ;5702         ;     ~   
567 ;NGC   565  ;NGC 565                            ;GiG;022.0424701474600 -01.3059937092700;            ~ ~   ;      ~  ;4437         ;     ~   
568 ;NGC   566  ;NGC 566                            ;G  ;022.2624018623000 +32.3322656284200;            ~ ~   ;      ~  ;5373         ;     ~   
569 ;NGC   567  ;NGC 567                            ;GiC;021.7600172037900 -10.2652492179900;            ~ ~   ;      ~  ;6913         ;     ~   
570 ;NGC   568  ;NGC 568                            ;GiG;021.9875306242600 -35.7176282145200;  -0.513 -0.228   ;0.6621   ;5590         ;12.59    
571 ;NGC   569  ;NGC 569                            ;GiP;022.2798157724800 +11.1314417848400;            ~ ~   ;      ~  ;5903         ;     ~   
572 ;NGC   570  ;NGC 570                            ;LIN;022.2443261437400 -00.9489713045800;   3.589 -1.453   ;0.0008   ;5477         ;     ~   
573 ;NGC   571  ;NGC 571                            ;G  ;022.483150 +32.501411              ;            ~ ~   ;      ~  ;4655         ;     ~   
574 ;NGC   572  ;NGC 572                            ;G  ;022.1516841001500 -39.3073591275500;            ~ ~   ;      ~  ;9089         ;     ~   
575 ;NGC   573  ;NGC 573                            ;G  ;022.7055932479500 +41.2572548070000;            ~ ~   ;      ~  ;2775         ;     ~   
576 ;NGC   574  ;NGC 574                            ;GiG;022.262975 -35.598942              ;            ~ ~   ;      ~  ;5685         ;     ~   
577 ;NGC   575  ;NGC 575                            ;G  ;022.6943665003200 +21.4404274294000;   -1.424 1.341   ;0.6975   ;3134         ;13.02    
578 ;NGC   576  ;NGC 576                            ;G  ;022.240388 -51.598697              ;            ~ ~   ;      ~  ;3150         ;     ~   
579 ;NGC   577  ;NGC 577                            ;GiG;022.6696317375000 -01.9943665302300;            ~ ~   ;      ~  ;5914         ;     ~   
580 ;NGC   578  ;NGC 578                            ;G  ;022.618950 -22.667211              ;            ~ ~   ;      ~  ;1626.2       ;10.93    
581 ;NGC   579  ;NGC 579                            ;GiG;022.9437636159700 +33.6155552987500;   2.065 -0.732   ;      ~  ;4988         ;     ~   
582 ;NGC   581  ;M 103                              ;OpC;023.3390 +60.6590                  ;  -1.384 -0.497   ;0.373    ;-45.7        ;7.4      
583 ;NGC   582  ;NGC 582                            ;GiG;022.991854 +33.476514              ;            ~ ~   ;      ~  ;4347         ;     ~   
584 ;NGC   583  ;NGC 583                            ;G  ;022.434087 -18.339403              ;            ~ ~   ;      ~  ;6964         ;     ~   
585 ;NGC   584  ;NGC 584                            ;GiP;022.8363466332500 -06.8679917465200;            ~ ~   ;      ~  ;1833         ;10.48    
586 ;NGC   585  ;NGC 585                            ;LIN;022.9254108894200 -00.9329669282300;            ~ ~   ;      ~  ;5365         ;     ~   
587 ;NGC   586  ;NGC 586                            ;GiP;022.9035038785200 -06.8937981887200;            ~ ~   ;      ~  ;1929         ;13.16    
588 ;NGC   587  ;NGC 587                            ;GiG;023.1388920123600 +35.3586145010800;            ~ ~   ;      ~  ;4526         ;     ~   
589 ;NGC   588  ;NGC 588                            ;HII;023.1883 +30.6483                  ;            ~ ~   ;      ~  ;~            ;14.44    
590 ;NGC   589  ;NGC 589                            ;GiG;023.1663683200800 -12.0426907409300;            ~ ~   ;      ~  ;5198         ;     ~   
591 ;NGC   590  ;NGC 590                            ;GiP;023.4203718348600 +44.9288662734100;  -0.138 -0.571   ;0.7429   ;4974         ;     ~   
592 ;NGC   591  ;NGC 591                            ;Sy2;023.3801273720700 +35.6682300975300;            ~ ~   ;      ~  ;4545         ;13.90    
593 ;NGC   592  ;VGHC 2-22                          ;HII;023.300783 +30.646428              ;            ~ ~   ;      ~  ;150          ;     ~   
594 ;NGC   593  ;NGC 593                            ;GiG;023.086475 -12.354442              ;            ~ ~   ;      ~  ;5138         ;     ~   
595 ;NGC   594  ;NGC 594                            ;EmG;023.237146 -16.536050              ;            ~ ~   ;      ~  ;5414.8       ;     ~   
596 ;NGC   595  ;NGC 595                            ;HII;023.38971 +30.69161                ;            ~ ~   ;      ~  ;~            ;     ~   
597 ;NGC   596  ;NGC 596                            ;GiG;023.2162695665900 -07.0315685614500;            ~ ~   ;      ~  ;1856         ;     ~   
598 ;NGC   597  ;NGC 597                            ;GiG;023.0619489490000 -33.4971343202200;   -1.584 0.076   ;      ~  ;5064.1       ;     ~   
599 ;NGC   598  ;NAME Triangulum Galaxy             ;GiG;023.4620690621800 +30.6601751119800;    0.707 0.827   ;      ~  ;-179.2       ;5.72     
600 ;NGC   599  ;NGC 599                            ;AGN;023.2240959097800 -12.1912558455100;            ~ ~   ;      ~  ;5422         ;     ~   
601 ;NGC   600  ;NGC 600                            ;EmG;023.272050 -07.311406              ;            ~ ~   ;      ~  ;1846.5       ;     ~   
602 ;NGC   602  ;NGC 602                            ;Cl*;022.383888 -73.560593              ;            ~ ~   ;      ~  ;~            ;13.018   
603 ;NGC   602a ;Cl Lindsay 105                     ;Cl*;022.39508 -73.55817                ;            ~ ~   ;      ~  ;~            ;     ~   
604 ;NGC   602b ;Bruck 164                          ;Cl*;022.3750 -73.5333                  ;            ~ ~   ;      ~  ;~            ;     ~   
605 ;NGC   602c ;Cl Lindsay 107                     ;As*;022.78679 -73.41419                ;            ~ ~   ;      ~  ;~            ;     ~   
606 ;NGC   603  ;NGC 603                            ;mul;023.6833 +30.2333                  ;            ~ ~   ;      ~  ;~            ;14       
607 ;NGC   604  ;NGC 604                            ;HII;023.6338 +30.7836                  ;            ~ ~   ;      ~  ;~            ;     ~   
608 ;NGC   605  ;NGC 605                            ;G  ;023.7597642915000 +41.2481475248000;            ~ ~   ;      ~  ;5057         ;     ~   
609 ;NGC   606  ;NGC 606                            ;G  ;023.7089513326200 +21.4184368742100;            ~ ~   ;      ~  ;9972         ;     ~   
610 ;NGC   608  ;NGC 608                            ;GiP;023.8676266141100 +33.6567365891600;            ~ ~   ;      ~  ;5053         ;     ~   
611 ;NGC   609  ;NGC 609                            ;OpC;024.1020 +64.5400                  ;  -0.673 -0.072   ;0.144    ;-45.06       ;11.0     
612 ;NGC   611  ;NGC 611                            ;?  ;023.5750 -20.1333                  ;            ~ ~   ;      ~  ;~            ;     ~   
613 ;NGC   612  ;NGC 612                            ;Sy2;023.490629 -36.493279              ;            ~ ~   ;      ~  ;8833         ;13.15    
614 ;NGC   613  ;NGC 613                            ;AGN;023.575979 -29.418489              ;            ~ ~   ;      ~  ;1480.6       ;12.71    
615 ;NGC   614  ;NGC 614                            ;GiP;023.9676346156900 +33.6819813283200;            ~ ~   ;      ~  ;5096         ;     ~   
616 ;NGC   615  ;NGC 615                            ;GiG;023.7737001529900 -07.3402337709300;            ~ ~   ;      ~  ;1841.0       ;     ~   
617 ;NGC   617  ;NGC 617                            ;Sy1;023.5105704834900 -09.7741526548700;   0.033 -0.194   ;0.1787   ;11985        ;14.70    
618 ;NGC   619  ;NGC 619                            ;GiG;023.7157512516600 -36.4893875872400;            ~ ~   ;      ~  ;8414         ;     ~   
619 ;NGC   620  ;NGC 620                            ;G  ;024.2486936137500 +42.3232440347700;            ~ ~   ;      ~  ;2472         ;     ~   
620 ;NGC   621  ;NGC 621                            ;GiG;024.2044462340500 +35.5121322044900;   0.453 -0.492   ;      ~  ;5113         ;     ~   
621 ;NGC   622  ;NGC 622                            ;EmG;024.000558 +00.663372              ;            ~ ~   ;      ~  ;5115         ;13.30    
622 ;NGC   623  ;NGC 623                            ;GiG;023.7766034025200 -36.4902017496600;            ~ ~   ;      ~  ;8821         ;     ~   
623 ;NGC   624  ;NGC 624                            ;LIN;023.9628372197800 -10.0029663384200;            ~ ~   ;      ~  ;5873.9       ;     ~   
624 ;NGC   625  ;NGC 625                            ;AGN;023.769300 -41.436200              ;            ~ ~   ;      ~  ;395.4        ;11.25    
